esol,gp,9,0.19773
perovskite_h_adsorp,gp,6,0.04959
perovskite_h_adsorp,sv,9,0.06147
lipo,nn,9,0.14863
perovskite_h_adsorp,gp,7,0.02662
perovskite_h_adsorp,gp,8,0.16171
qm9_cv,gp_ard,2,0.16489
perovskite_h_adsorp,nn,3,-0.18283
polymer_tg,rf,2,0.12642
qm9_cv,nn,3,0.06846
qm9_cv,knn,3,0.32531
qm9_cv,sv,2,0.46202
polymer_tg,gp_ard,3,0.17976
polymer_tg,knn,3,0.20364
perovskite_h_adsorp,gp,9,-0.02676
qm9_cv,rf,2,0.22071
qm9_cv,gp,3,0.00876
polymer_tg,sv,3,0.16511
polymer_tg,gp,3,0.10164
polymer_tg,nn,3,0.16846
perovskite_h_adsorp,nn,4,-0.01210
qm9_cv,gp_ard,3,0.06333
qm9_cv,sv,3,0.42108
perovskite_h_adsorp,nn,5,0.17626
qm9_cv,rf,3,0.24364
polymer_tg,rf,3,0.12841
qm9_cv,knn,4,0.31376
qm9_cv,nn,4,0.14632
polymer_tg,gp_ard,4,0.18672
polymer_tg,knn,4,0.18282
perovskite_h_adsorp,nn,6,0.08330
polymer_tg,sv,4,0.18098
qm9_cv,gp,4,0.11059
polymer_tg,gp,4,0.12925
polymer_tg,nn,4,0.16684
perovskite_h_adsorp,nn,7,0.05066
qm9_cv,gp_ard,4,0.12579
qm9_cv,sv,4,0.41967
qm9_cv,knn,5,0.32516
qm9_cv,rf,4,0.19734
polymer_tg,rf,4,0.13457
qm9_cv,nn,5,0.05104
polymer_tg,gp_ard,5,0.17552
polymer_tg,knn,5,0.19088
perovskite_h_adsorp,nn,8,0.28281
polymer_tg,sv,5,0.17752
perovskite_h_adsorp,nn,9,-0.06169
polymer_tg,gp,5,0.10748
qm9_cv,gp_ard,5,0.07161
qm9_cv,gp,5,0.03019
polymer_tg,nn,5,0.15460
qm9_cv,sv,5,0.43051
qm9_cv,knn,6,0.31905
qm9_cv,rf,5,0.24226
qm9_cv,nn,6,0.08263
