path,coverage
polygas_CO2-hallucinate-100-3.npy,712846.9475160638
sublimation-top-100-2.npy,4690022.452222793
polygas_N2-embedding-100-0.npy,614307.919607197
esol-embedding-100-8.npy,734580.9394659987
polygas_H2-hallucinate-100-0.npy,849358.519248162
polymer_o2-random-100-1.npy,1882845.9517872585
polygas_CH4-hallucinate-100-3.npy,749395.8185959525
polygas_CO2-hallucinate-100-6.npy,662293.7554499758
freesolv-penultimate-100-2.npy,238265.4830277067
polygas_He-top-100-6.npy,3484315.106300112
bace-random-100-2.npy,1491716.6269871197
polygas_N2-penultimate-100-4.npy,889246.9274696434
polygas_O2-top-100-7.npy,4478361.3948105825
polygas_H2-ensemble-100-3.npy,696474.426055264
freesolv-embedding-100-7.npy,1140107.0642098975
polygas_CO2-ensemble-100-0.npy,624422.2912946133
freesolv-hallucinate-100-3.npy,240288.14495101076
polymer_o2-embedding-100-9.npy,1391257.5806104718
polygas_CH4-embedding-100-4.npy,641759.9188528191
polymer_density-ensemble-100-7.npy,2053813.3215889952
sublimation-embedding-100-3.npy,1500523.2143615112
freesolv-embedding-100-1.npy,256916.78830926484
polygas_CH4-penultimate-100-2.npy,964195.5337033896
polygas_CO2-hallucinate-100-7.npy,750869.9002041826
polymer_mt-penultimate-100-2.npy,3654273.7472286974
polygas_He-embedding-100-3.npy,850875.2140519586
chain_gap-embedding-100-9.npy,3225363.2739434247
polygas_O2-top-100-3.npy,3970714.105529389
polygas_H2-penultimate-100-6.npy,623114.8777425322
polygas_N2-penultimate-100-3.npy,885195.008940706
polymer_o2-hallucinate-100-7.npy,1337784.6883587183
lipo-penultimate-100-8.npy,4653199.174451925
freesolv-ensemble-100-0.npy,219530.62926412432
esol-embedding-100-4.npy,722029.7214709894
polygas_CO2-random-100-5.npy,775871.2941823392
polygas_CH4-embedding-100-5.npy,971252.1250947046
polygas_O2-penultimate-100-1.npy,619544.546477238
chain_gap-top-100-7.npy,23171348.306936342
polygas_N2-ensemble-100-0.npy,648946.9814702593
polygas_H2-embedding-100-7.npy,608598.5421921824
freesolv-ensemble-100-4.npy,186855.98056498432
sublimation-embedding-100-4.npy,1514147.497701427
bace-ensemble-100-4.npy,1265090.3187207826
polygas_CH4-embedding-100-1.npy,866185.5568554914
polygas_CO2-ensemble-100-3.npy,634277.6548542498
polygas_O2-hallucinate-100-7.npy,754236.197332442
polygas_He-hallucinate-100-1.npy,710040.8980540755
freesolv-penultimate-100-7.npy,1174402.4558850566
polymer_o2-ensemble-100-5.npy,1390020.9069638278
freesolv-embedding-100-8.npy,266362.3275359896
polygas_CH4-random-100-9.npy,868634.2700993153
polygas_CO2-ensemble-100-7.npy,735266.9607564367
polygas_H2-hallucinate-100-9.npy,699028.7418428869
polygas_O2-ensemble-100-0.npy,733528.13852459
polymer_density-penultimate-100-2.npy,2188000.0117362128
polygas_N2-random-100-0.npy,875194.5657684995
sublimation-top-100-5.npy,4462795.398215838
freesolv-hallucinate-100-2.npy,194895.82206996257
polygas_CH4-random-100-8.npy,907099.8131568936
polygas_CO2-ensemble-100-4.npy,605746.6652791335
polygas_O2-embedding-100-8.npy,597443.3368098408
polygas_H2-embedding-100-4.npy,711058.6718982172
esol-ensemble-100-0.npy,578189.767004635
polymer_o2-embedding-100-2.npy,1768912.622626551
freesolv-ensemble-100-6.npy,208307.80685187993
polygas_He-embedding-100-8.npy,692746.2872979876
polygas_CH4-random-100-6.npy,718110.9259612903
polygas_N2-embedding-100-6.npy,629717.3936042762
polygas_CO2-ensemble-100-5.npy,597577.0168293841
polygas_O2-penultimate-100-6.npy,663439.0927131549
freesolv-top-100-7.npy,935662.2630533671
polymer_o2-embedding-100-0.npy,1679119.775545442
polygas_H2-random-100-3.npy,1034082.9279671186
polygas_CO2-embedding-100-8.npy,709629.0151760383
chain_gap-penultimate-100-7.npy,3110614.8717813967
sublimation-ensemble-100-1.npy,1163820.4820074646
polygas_N2-ensemble-100-1.npy,611038.0587644028
freesolv-penultimate-100-6.npy,284586.1913446188
polygas_O2-ensemble-100-6.npy,686682.3949677065
polygas_He-ensemble-100-6.npy,650237.685674493
polygas_CH4-top-100-6.npy,4371455.571868727
bace-hallucinate-100-1.npy,1500209.501741883
polygas_CO2-hallucinate-100-2.npy,660373.0098654699
polymer_mt-random-100-6.npy,4686432.120422772
esol-hallucinate-100-5.npy,569330.0121314618
polymer_density-random-100-7.npy,2216609.446231896
polygas_H2-hallucinate-100-7.npy,879279.7625845913
chain_gap-top-100-8.npy,19680212.283329427
polymer_tg-embedding-100-6.npy,14612526.235809058
freesolv-penultimate-100-1.npy,236880.30546761575
polygas_O2-hallucinate-100-6.npy,802922.7334729314
polygas_N2-ensemble-100-7.npy,663121.4733695979
polygas_CH4-hallucinate-100-4.npy,653933.7200346482
polygas_He-ensemble-100-9.npy,634007.2541186227
polymer_o2-embedding-100-3.npy,1511063.8798960135
polygas_CO2-random-100-8.npy,773349.0180721991
freesolv-ensemble-100-2.npy,194178.1527387037
freesolv-embedding-100-4.npy,1102708.4336555563
polygas_CH4-hallucinate-100-2.npy,694062.8984866822
polygas_He-penultimate-100-7.npy,695242.0794962456
sublimation-ensemble-100-8.npy,1199037.9058012636
polygas_N2-hallucinate-100-8.npy,745404.5380927606
polygas_O2-ensemble-100-4.npy,630690.0865809665
polygas_CO2-ensemble-100-1.npy,633215.4553693351
freesolv-hallucinate-100-7.npy,206108.08624898613
polygas_CH4-penultimate-100-6.npy,659506.3097480026
polygas_H2-top-100-4.npy,3248248.892063179
polymer_o2-ensemble-100-2.npy,1156114.3571374267
logp-top-100-8.npy,182182653.1921882
polygas_CO2-ensemble-100-2.npy,590563.7841033039
esol-embedding-100-5.npy,756046.9999306367
polygas_O2-random-100-7.npy,988271.2711288144
freesolv-random-100-3.npy,257641.4138040316
polygas_CH4-penultimate-100-3.npy,831707.9958407357
bace-embedding-100-7.npy,1535878.8228945164
polygas_He-ensemble-100-8.npy,504921.3449935677
polygas_N2-embedding-100-5.npy,646286.7290127319
freesolv-penultimate-100-5.npy,233767.61420556388
polymer_o2-embedding-100-5.npy,1735585.7450723257
polygas_O2-embedding-100-0.npy,819397.3491717549
freesolv-top-100-9.npy,3312469.607921951
sublimation-penultimate-100-2.npy,1568066.4808953204
polygas_H2-ensemble-100-0.npy,585875.8322998625
polygas_CH4-random-100-7.npy,973053.2193648902
polymer_density-embedding-100-1.npy,2156493.9733189424
lipo-ensemble-100-1.npy,4194871.29774314
chain_gap-penultimate-100-4.npy,3026760.848116802
freesolv-penultimate-100-0.npy,269431.5771647595
polygas_N2-penultimate-100-1.npy,774507.7988672701
polygas_O2-random-100-4.npy,853734.8094287605
polygas_CO2-top-100-9.npy,3431216.0674903253
polygas_He-embedding-100-9.npy,673062.4385560702
polymer_o2-random-100-9.npy,1547474.9056606174
polymer_mt-random-100-2.npy,4530528.728749045
polygas_CH4-penultimate-100-5.npy,817681.2054152377
sublimation-top-100-6.npy,4394907.484825855
freesolv-hallucinate-100-9.npy,214286.98853135668
esol-embedding-100-7.npy,988682.7546775388
polygas_N2-hallucinate-100-1.npy,962541.7446434202
polygas_CO2-ensemble-100-8.npy,641045.6980519737
polygas_O2-hallucinate-100-8.npy,608271.5895893618
polygas_CH4-ensemble-100-3.npy,688506.0161032244
polygas_He-random-100-1.npy,805242.8343750493
freesolv-random-100-7.npy,249953.4836819455
bace-penultimate-100-9.npy,1413379.8135208932
polymer_o2-hallucinate-100-3.npy,1488982.253762696
polygas_H2-top-100-3.npy,3828100.355352863
polygas_CO2-random-100-1.npy,755483.0880683846
polygas_O2-penultimate-100-4.npy,809478.5318779314
polygas_N2-random-100-1.npy,783925.4791375446
sublimation-embedding-100-0.npy,1434376.1309273564
polygas_CH4-ensemble-100-4.npy,539013.1534457491
freesolv-random-100-1.npy,280152.687414424
polygas_He-embedding-100-0.npy,611845.8438113027
polygas_CO2-embedding-100-4.npy,631221.1216670066
esol-hallucinate-100-1.npy,639835.6665286708
polygas_O2-embedding-100-1.npy,781901.6140343416
polymer_density-penultimate-100-4.npy,2161887.0010905033
polymer_o2-hallucinate-100-8.npy,1440418.9596931331
polygas_N2-penultimate-100-0.npy,679037.5772107085
