Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
freesolv,random,none,none,none,5,100,0.78264,0.30556,0.46622,0.46622,0.88517,0.87736
freesolv,random,none,none,none,7,100,0.70593,0.33244,0.54228,0.54228,0.84878,0.88753
polygas_He,random,none,none,none,6,100,0.70624,0.35177,0.542,0.542,0.85199,0.84653
polygas_CO2,random,none,none,none,1,100,0.76896,0.32278,0.48067,0.48067,0.87796,0.89374
polygas_H2,random,none,none,none,1,100,0.77995,0.29809,0.4691,0.4691,0.88492,0.89537
polygas_CO2,random,none,none,none,6,100,0.66622,0.37255,0.57774,0.57774,0.83035,0.83315
polygas_O2,random,none,none,none,7,100,0.63753,0.3738,0.60205,0.60205,0.80572,0.81097
sublimation,random,none,none,none,7,100,0.68427,0.37937,0.5619,0.5619,0.82922,0.84336
esol,random,none,none,none,7,100,0.80054,0.3228,0.44661,0.44661,0.89779,0.88527
esol,random,none,none,none,9,100,0.75375,0.35513,0.49624,0.49624,0.87717,0.87027
esol,random,none,none,none,1,100,0.79729,0.33176,0.45024,0.45024,0.89397,0.88618
polymer_o2,random,none,none,none,9,100,0.76444,0.19119,0.48535,0.48535,0.88167,0.30474
polymer_o2,random,none,none,none,4,100,0.6128,0.2359,0.62225,0.62225,0.78568,0.25716
bace,random,none,none,none,9,100,0.40967,0.54574,0.76833,0.76833,0.67832,0.66026
freesolv,penultimate,none,none,none,2,100,0.80668,0.26449,0.43968,0.43968,0.90169,0.91191
freesolv,embedding,none,none,none,7,100,0.81507,0.26529,0.43003,0.43003,0.90549,0.92785
bace,random,none,none,none,2,100,0.38567,0.60224,0.78379,0.78379,0.65761,0.64002
freesolv,penultimate,none,none,none,5,100,0.76014,0.29814,0.48976,0.48976,0.87205,0.89825
freesolv,embedding,none,none,none,4,100,0.7905,0.30265,0.45771,0.45771,0.89713,0.87863
freesolv,embedding,none,none,none,0,100,0.79017,0.29709,0.45807,0.45807,0.89887,0.89611
freesolv,embedding,none,none,none,6,100,0.78488,0.31846,0.46381,0.46381,0.88727,0.86084
freesolv,embedding,none,none,none,5,100,0.83914,0.28199,0.40108,0.40108,0.91681,0.89764
chain_gap,random,none,none,none,6,100,0.68527,0.38247,0.56101,0.56101,0.83762,0.86263
freesolv,embedding,none,none,none,8,100,0.76883,0.29017,0.4808,0.4808,0.89049,0.91489
chain_gap,random,none,none,none,9,100,0.65012,0.40897,0.5915,0.5915,0.80676,0.83789
sublimation,embedding,none,none,none,5,100,0.64525,0.41879,0.59561,0.59561,0.8035,0.80627
polymer_mt,random,none,none,none,1,100,0.38642,0.57639,0.78331,0.78331,0.64099,0.64662
polymer_mt,random,none,none,none,5,100,0.50587,0.51685,0.70294,0.70294,0.7218,0.72347
esol,embedding,none,none,none,6,100,0.78879,0.33644,0.45958,0.45958,0.89033,0.8789
polygas_CH4,embedding,none,none,none,3,100,0.72441,0.32605,0.52497,0.52497,0.85222,0.86388
polygas_O2,embedding,none,none,none,1,100,0.76675,0.30971,0.48296,0.48296,0.87734,0.87857
polygas_CO2,embedding,none,none,none,2,100,0.74631,0.30654,0.50367,0.50367,0.86391,0.88567
polygas_O2,embedding,none,none,none,9,100,0.77943,0.2871,0.46964,0.46964,0.88366,0.89869
polygas_H2,penultimate,none,none,none,0,100,0.74658,0.32236,0.50341,0.50341,0.86974,0.87319
sublimation,embedding,none,none,none,7,100,0.6302,0.41014,0.60811,0.60811,0.79579,0.80411
polygas_N2,penultimate,none,none,none,9,100,0.73984,0.31178,0.51006,0.51006,0.86158,0.87162
polygas_He,embedding,none,none,none,1,100,0.74147,0.32269,0.50846,0.50846,0.86543,0.88414
polygas_O2,embedding,none,none,none,3,100,0.73095,0.30943,0.5187,0.5187,0.85862,0.87559
polygas_H2,embedding,none,none,none,2,100,0.71017,0.33852,0.53836,0.53836,0.85039,0.85704
polygas_CH4,penultimate,none,none,none,4,100,0.74478,0.30708,0.5052,0.5052,0.86714,0.88326
polygas_CO2,penultimate,none,none,none,4,100,0.74293,0.32159,0.50702,0.50702,0.86466,0.8714
polygas_He,embedding,none,none,none,2,100,0.70204,0.33099,0.54586,0.54586,0.83896,0.85667
polygas_O2,penultimate,none,none,none,7,100,0.78012,0.28419,0.46892,0.46892,0.88386,0.89967
polygas_O2,embedding,none,none,none,4,100,0.74214,0.3161,0.5078,0.5078,0.86384,0.87516
polygas_H2,penultimate,none,none,none,3,100,0.77937,0.30115,0.46971,0.46971,0.88366,0.89398
polygas_He,embedding,none,none,none,8,100,0.7133,0.3162,0.53544,0.53544,0.84765,0.85238
polygas_He,embedding,none,none,none,5,100,0.67219,0.34322,0.57255,0.57255,0.83342,0.8674
polymer_density,embedding,none,none,none,6,100,0.62142,0.37201,0.61529,0.61529,0.79266,0.8397
polygas_H2,penultimate,none,none,none,5,100,0.70502,0.31538,0.54312,0.54312,0.84134,0.86089
bace,penultimate,none,none,none,7,100,0.47093,0.51433,0.72737,0.72737,0.69787,0.69634
bace,embedding,none,none,none,3,100,0.43233,0.55974,0.75344,0.75344,0.66531,0.62735
bace,penultimate,none,none,none,8,100,0.37329,0.57488,0.79165,0.79165,0.63622,0.58873
bace,embedding,none,none,none,0,100,0.40504,0.56673,0.77134,0.77134,0.67296,0.63985
bace,penultimate,none,none,none,5,100,0.51909,0.51102,0.69347,0.69347,0.72788,0.68092
chain_gap,embedding,none,none,none,3,100,0.66318,0.41626,0.58036,0.58036,0.81644,0.84098
chain_gap,penultimate,none,none,none,3,100,0.62081,0.4451,0.61579,0.61579,0.79562,0.81419
chain_gap,penultimate,none,none,none,2,100,0.68362,0.40743,0.56248,0.56248,0.83348,0.84838
bace,embedding,none,none,none,7,100,0.48677,0.5378,0.7164,0.7164,0.71008,0.67206
polygas_CO2,random,none,none,none,3,100,0.67584,0.3469,0.56935,0.56935,0.83166,0.85388
chain_gap,embedding,none,none,none,4,100,0.73482,0.35103,0.51496,0.51496,0.85951,0.88184
chain_gap,embedding,none,none,none,6,100,0.67382,0.38833,0.57112,0.57112,0.82807,0.8563
polygas_H2,penultimate,none,none,none,9,100,0.78312,0.28027,0.46571,0.46571,0.88539,0.9081
polygas_N2,random,none,none,none,5,100,0.76141,0.30192,0.48846,0.48846,0.87435,0.87488
chain_gap,penultimate,none,none,none,8,100,0.68636,0.39375,0.56003,0.56003,0.84356,0.85958
polygas_CH4,random,none,none,none,6,100,0.64421,0.36676,0.59648,0.59648,0.82014,0.82023
polygas_O2,embedding,none,none,none,8,100,0.78104,0.28221,0.46793,0.46793,0.88499,0.89835
esol,embedding,none,none,none,1,100,0.7706,0.34122,0.47895,0.47895,0.88378,0.88147
polymer_o2,random,none,none,none,1,100,0.1938,0.19769,0.89788,0.89788,0.51024,0.24825
polymer_mt,penultimate,none,none,none,6,100,0.38501,0.587,0.78421,0.78421,0.70673,0.6908
polymer_mt,penultimate,none,none,none,4,100,0.35575,0.59149,0.80265,0.80265,0.63759,0.62364
polymer_mt,penultimate,none,none,none,0,100,0.43903,0.54702,0.74898,0.74898,0.68436,0.68564
polymer_mt,penultimate,none,none,none,3,100,0.36508,0.57944,0.79682,0.79682,0.6808,0.67607
polygas_H2,random,none,none,none,3,100,0.68169,0.35336,0.56419,0.56419,0.8357,0.85509
polygas_H2,penultimate,none,none,none,1,100,0.77246,0.30952,0.47701,0.47701,0.88404,0.88929
polymer_tg,random,none,none,none,8,100,0.63369,0.44995,0.60524,0.60524,0.81359,0.83205
polymer_density,embedding,none,none,none,8,100,0.58254,0.38516,0.64611,0.64611,0.77636,0.84295
polygas_CH4,random,none,none,none,1,100,0.76565,0.31349,0.48409,0.48409,0.88135,0.89639
freesolv,ensemble,none,none,none,9,100,0.77172,0.34202,0.47779,0.47779,0.88277,0.85664
freesolv,ensemble,none,none,none,5,100,0.86248,0.26323,0.37084,0.37084,0.93589,0.91887
esol,penultimate,none,none,none,4,100,0.75595,0.36329,0.49401,0.49401,0.87318,0.84407
freesolv,penultimate,none,none,none,0,100,0.7976,0.29006,0.44989,0.44989,0.89786,0.89937
lipo,penultimate,none,none,none,3,100,0.13614,0.71856,0.92944,0.92944,0.43417,0.426
esol,ensemble,none,none,none,9,100,0.74001,0.38379,0.5099,0.5099,0.87279,0.85606
sublimation,ensemble,none,none,none,0,100,0.72856,0.35788,0.521,0.521,0.86138,0.84659
sublimation,ensemble,none,none,none,9,100,0.78556,0.32019,0.46307,0.46307,0.88808,0.88192
polymer_tg,random,none,none,none,2,100,0.67733,0.42596,0.56804,0.56804,0.82435,0.83568
polymer_tg,penultimate,none,none,none,3,100,0.59337,0.4741,0.63767,0.63767,0.77629,0.79404
polygas_O2,embedding,none,none,none,6,100,0.749,0.30116,0.501,0.501,0.86688,0.87669
polymer_tg,penultimate,none,none,none,8,100,0.70235,0.40191,0.54557,0.54557,0.83817,0.85077
polygas_O2,ensemble,none,none,none,0,100,0.77936,0.30739,0.46972,0.46972,0.88361,0.88328
polymer_tg,embedding,none,none,none,1,100,0.68308,0.42044,0.56296,0.56296,0.83461,0.84682
polymer_tg,random,none,none,none,0,100,0.7275,0.38375,0.52202,0.52202,0.85518,0.87257
polygas_CH4,ensemble,none,none,none,7,100,0.71524,0.31642,0.53363,0.53363,0.8564,0.85445
polygas_N2,ensemble,none,none,none,6,100,0.68217,0.33576,0.56376,0.56376,0.82686,0.82877
polygas_O2,ensemble,none,none,none,1,100,0.73101,0.31668,0.51865,0.51865,0.85845,0.87732
chain_gap,ensemble,none,none,none,1,100,0.66633,0.42061,0.57764,0.57764,0.82431,0.84215
lipo,random,none,none,none,6,100,0.12516,0.72493,0.93533,0.93533,0.42246,0.42083
polygas_CO2,ensemble,none,none,none,9,100,0.70173,0.33795,0.54614,0.54614,0.83772,0.85812
polygas_He,ensemble,none,none,none,2,100,0.72716,0.33332,0.52235,0.52235,0.85517,0.86873
polygas_O2,penultimate,none,none,none,1,100,0.77791,0.30847,0.47126,0.47126,0.89175,0.89418
polygas_N2,random,none,none,none,3,100,0.62779,0.383,0.61009,0.61009,0.82002,0.83323
polygas_O2,ensemble,none,none,none,6,100,0.76504,0.29994,0.48472,0.48472,0.87636,0.89032
polygas_H2,ensemble,none,none,none,6,100,0.72581,0.3092,0.52363,0.52363,0.85668,0.8726
polygas_H2,ensemble,none,none,none,4,100,0.7546,0.29684,0.49537,0.49537,0.87111,0.89556
logp,random,none,none,none,6,100,0.49171,0.52307,0.71294,0.71294,0.70393,0.71246
sublimation,ensemble,none,none,none,3,100,0.73259,0.36107,0.51712,0.51712,0.85715,0.85892
polygas_He,ensemble,none,none,none,0,100,0.76043,0.30241,0.48946,0.48946,0.87305,0.88816
polymer_o2,embedding,none,none,none,6,100,0.70298,0.21881,0.54499,0.54499,0.84669,0.4017
polygas_CH4,ensemble,none,none,none,9,100,0.74643,0.30659,0.50356,0.50356,0.86892,0.87633
polymer_o2,ensemble,none,none,none,8,100,0.78764,0.16237,0.46083,0.46083,0.89697,0.2571
polygas_He,ensemble,none,none,none,7,100,0.68892,0.37481,0.55775,0.55775,0.83512,0.85271
polymer_mt,ensemble,none,none,none,0,100,0.45299,0.55734,0.7396,0.7396,0.67881,0.67281
bace,ensemble,none,none,none,6,100,0.49739,0.54539,0.70895,0.70895,0.72773,0.69879
chain_gap,ensemble,none,none,none,2,100,0.71655,0.37593,0.5324,0.5324,0.85435,0.87312
polygas_H2,ensemble,none,none,none,8,100,0.68873,0.33158,0.55791,0.55791,0.83547,0.84905
polygas_H2,random,none,none,none,8,100,0.70756,0.33876,0.54077,0.54077,0.84163,0.86075
polymer_mt,ensemble,none,none,none,6,100,0.44923,0.56389,0.74214,0.74214,0.68502,0.67536
polygas_N2,ensemble,none,none,none,7,100,0.67124,0.37228,0.57337,0.57337,0.86204,0.86451
polygas_He,ensemble,none,none,none,6,100,0.75916,0.30253,0.49075,0.49075,0.87982,0.8973
bace,ensemble,none,none,none,4,100,0.50571,0.53191,0.70306,0.70306,0.72356,0.66971
sublimation,ensemble,none,none,none,1,100,0.69097,0.38074,0.5559,0.5559,0.83323,0.82789
polygas_CO2,ensemble,none,none,none,4,100,0.72659,0.30538,0.52289,0.52289,0.85405,0.86816
chain_gap,embedding,none,none,none,5,100,0.65864,0.38901,0.58426,0.58426,0.82693,0.84856
logp,penultimate,none,none,none,8,100,0.47518,0.51568,0.72444,0.72444,0.70902,0.7144
polygas_CO2,penultimate,none,none,none,0,100,0.75743,0.30774,0.49251,0.49251,0.87435,0.89058
polymer_mt,random,none,none,none,9,100,0.42089,0.56124,0.76099,0.76099,0.66107,0.6593
logp,random,none,none,none,2,100,0.416,0.56654,0.7642,0.7642,0.64715,0.66582
polygas_He,penultimate,none,none,none,1,100,0.72221,0.3293,0.52706,0.52706,0.85111,0.86281
polymer_density,penultimate,none,none,none,6,100,0.5888,0.39684,0.64125,0.64125,0.77134,0.82006
polygas_CH4,penultimate,none,none,none,5,100,0.73971,0.31189,0.51019,0.51019,0.86351,0.86635
esol,ensemble,none,none,none,8,100,0.80041,0.33204,0.44676,0.44676,0.89495,0.87951
polygas_N2,penultimate,none,none,none,7,100,0.73105,0.3196,0.51861,0.51861,0.85591,0.85993
bace,penultimate,none,none,none,1,100,0.47013,0.54372,0.72792,0.72792,0.69422,0.66616
polygas_CO2,penultimate,none,none,none,8,100,0.7397,0.30576,0.51019,0.51019,0.86219,0.88596
freesolv,random,none,none,none,6,100,0.72184,0.33179,0.5274,0.5274,0.85362,0.87522
bace,random,none,none,none,5,100,0.50961,0.51538,0.70028,0.70028,0.71412,0.68941
logp,embedding,none,none,none,1,100,0.50822,0.51207,0.70127,0.70127,0.72389,0.72508
polymer_mt,ensemble,none,none,none,3,100,0.37593,0.58767,0.78998,0.78998,0.65507,0.63827
polygas_O2,ensemble,none,none,none,8,100,0.74144,0.30465,0.50849,0.50849,0.8652,0.87765
polymer_tg,ensemble,none,none,none,8,100,0.66511,0.43863,0.5787,0.5787,0.82385,0.8299
polymer_o2,penultimate,none,none,none,2,100,-0.41409,0.43269,1.18916,1.18916,0.7211,0.26759
polygas_He,random,none,none,none,5,100,0.73694,0.31869,0.5129,0.5129,0.86636,0.8715
polymer_tg,ensemble,none,none,none,7,100,0.6719,0.42841,0.5728,0.5728,0.823,0.8267
sublimation,penultimate,none,none,none,4,100,0.67959,0.37678,0.56605,0.56605,0.82447,0.82562
polygas_O2,random,none,none,none,6,100,0.69997,0.33516,0.54775,0.54775,0.84561,0.83857
polymer_o2,ensemble,none,none,none,3,100,0.0798,0.19973,0.95927,0.95927,0.40373,0.30405
polymer_tg,ensemble,none,none,none,4,100,0.71734,0.40608,0.53166,0.53166,0.8502,0.86032
polygas_H2,penultimate,none,none,none,8,100,0.72811,0.31669,0.52143,0.52143,0.85511,0.86935
polygas_He,embedding,none,none,none,6,100,0.69287,0.33634,0.55419,0.55419,0.83947,0.8515
polymer_density,embedding,none,none,none,0,100,0.57956,0.37878,0.64841,0.64841,0.76495,0.81674
polygas_O2,random,none,none,none,4,100,0.76883,0.29323,0.4808,0.4808,0.88312,0.90323
logp,ensemble,none,none,none,7,100,0.42674,0.56717,0.75714,0.75714,0.65432,0.63185
freesolv,penultimate,none,none,none,3,100,0.7587,0.28277,0.49122,0.49122,0.87402,0.91566
bace,ensemble,none,none,none,2,100,0.49563,0.52798,0.71019,0.71019,0.71581,0.69274
polygas_CO2,penultimate,none,none,none,3,100,0.70711,0.31681,0.54119,0.54119,0.84747,0.87566
logp,ensemble,none,none,none,9,100,0.57876,0.48349,0.64903,0.64903,0.76264,0.74792
polymer_tg,ensemble,none,none,none,2,100,0.71672,0.39783,0.53224,0.53224,0.85,0.85698
polygas_N2,embedding,none,none,none,3,100,0.7576,0.30248,0.49235,0.49235,0.87336,0.8849
polymer_tg,penultimate,none,none,none,4,100,0.59486,0.47281,0.6365,0.6365,0.7768,0.77957
pcqm4mv2_small,random,none,none,none,8,100,0.51349,0.52784,0.6975,0.6975,0.72779,0.72601
polymer_tg,ensemble,none,none,none,9,100,0.72337,0.39019,0.52595,0.52595,0.85327,0.86024
polygas_N2,random,none,none,none,1,100,0.79449,0.30086,0.45333,0.45333,0.89247,0.90103
polymer_tg,embedding,none,none,none,5,100,0.71222,0.39487,0.53645,0.53645,0.84816,0.85256
polygas_O2,random,none,none,none,3,100,0.62757,0.37168,0.61027,0.61027,0.8065,0.80974
polygas_He,random,none,none,none,2,100,0.71443,0.33691,0.53439,0.53439,0.85249,0.86069
polymer_mt,ensemble,none,none,none,2,100,0.47489,0.54069,0.72464,0.72464,0.69475,0.68402
polygas_H2,embedding,none,none,none,6,100,0.69156,0.34683,0.55538,0.55538,0.83646,0.85121
pcqm4mv2_small,embedding,none,none,none,3,100,0.58883,0.48157,0.64123,0.64123,0.76765,0.74775
pcqm4mv2_small,embedding,none,none,none,4,100,0.60189,0.47325,0.63096,0.63096,0.77789,0.76402
pcqm4mv2_small,penultimate,none,none,none,5,100,0.53173,0.51207,0.6843,0.6843,0.73312,0.73669
qm9_h298,random,none,none,none,5,100,0.55859,0.48862,0.66439,0.66439,0.74847,0.74169
qm9_h298,random,none,none,none,1,100,0.46281,0.53353,0.73293,0.73293,0.68353,0.71743
qm9_mu,random,none,none,none,9,100,0.21458,0.64596,0.88624,0.88624,0.47501,0.53185
qm9_h298,random,none,none,none,2,100,0.5529,0.46398,0.66865,0.66865,0.74717,0.77357
pcqm4mv2_small,embedding,none,none,none,7,100,0.55966,0.49015,0.66358,0.66358,0.75109,0.73891
qm9_zpve,random,none,none,none,2,100,0.8354,0.31108,0.4057,0.4057,0.91902,0.91482
qm9_zpve,random,none,none,none,0,100,0.83515,0.3129,0.40602,0.40602,0.91926,0.91467
qm9_gap,random,none,none,none,8,100,0.74397,0.38837,0.50599,0.50599,0.86498,0.87632
pcqm4mv2_small,penultimate,none,none,none,4,100,0.57337,0.48147,0.65317,0.65317,0.76333,0.75999
qm9_lumo,random,none,none,none,3,100,0.74118,0.37902,0.50875,0.50875,0.86193,0.85747
qm9_h298,random,none,none,none,6,100,0.59023,0.46444,0.64013,0.64013,0.77013,0.78549
pcqm4mv2_small,random,none,none,none,2,100,0.50632,0.52912,0.70263,0.70263,0.72607,0.71917
qm9_cv,random,none,none,none,8,100,0.66432,0.43236,0.57938,0.57938,0.81913,0.83661
qm9_u0,random,none,none,none,8,100,0.52441,0.49465,0.68963,0.68963,0.73228,0.74864
qm9_u0,random,none,none,none,2,100,0.59163,0.45515,0.63904,0.63904,0.77413,0.79442
qm9_r2,random,none,none,none,4,100,0.51303,0.50819,0.69784,0.69784,0.72209,0.67379
qm9_g298,random,none,none,none,0,100,0.59218,0.4593,0.63861,0.63861,0.76974,0.78154
qm9_zpve,random,none,none,none,5,100,0.8598,0.28582,0.37443,0.37443,0.93085,0.92783
pcqm4mv2_small,embedding,none,none,none,6,100,0.4799,0.5448,0.72118,0.72118,0.73962,0.71883
qm9_alpha,random,none,none,none,9,100,0.41716,0.56452,0.76344,0.76344,0.65399,0.68435
qm9_homo,random,none,none,none,7,100,0.46057,0.54635,0.73446,0.73446,0.6788,0.64687
polygas_N2,penultimate,none,none,none,6,100,0.73681,0.30241,0.51302,0.51302,0.8679,0.87428
polygas_H2,embedding,none,none,none,0,100,0.76281,0.29472,0.48702,0.48702,0.87551,0.88135
polymer_density,penultimate,none,none,none,0,100,0.6086,0.38147,0.62562,0.62562,0.78624,0.81529
bace,ensemble,none,none,none,0,100,0.36515,0.61907,0.79677,0.79677,0.63839,0.59215
qm9_r2,random,none,none,none,7,100,0.54996,0.47907,0.67085,0.67085,0.74911,0.72106
polygas_N2,penultimate,none,none,none,0,100,0.78972,0.29014,0.45856,0.45856,0.89096,0.89598
qm9_homo,random,none,none,none,8,100,0.39307,0.57048,0.77906,0.77906,0.63251,0.60156
polygas_O2,ensemble,none,none,none,5,100,0.71238,0.31623,0.5363,0.5363,0.84796,0.86279
polygas_CO2,embedding,none,none,none,3,100,0.73402,0.30505,0.51573,0.51573,0.86032,0.87653
qm9_homo,random,none,none,none,9,100,0.49199,0.52521,0.71275,0.71275,0.70166,0.6714
bace,embedding,none,none,none,5,100,0.37201,0.57788,0.79246,0.79246,0.64549,0.60432
polymer_o2,penultimate,none,none,none,4,100,0.44058,0.28464,0.74794,0.74794,0.81365,0.31612
qm9_lumo,embedding,none,none,none,4,100,0.76707,0.36273,0.48263,0.48263,0.88197,0.88013
qm9_g298,random,none,none,none,4,100,0.47387,0.52346,0.72535,0.72535,0.69368,0.71677
qm9_lumo,embedding,none,none,none,5,100,0.72227,0.39373,0.527,0.527,0.85067,0.85021
qm9_u298,embedding,none,none,none,7,100,0.4577,0.51929,0.73641,0.73641,0.69204,0.72893
qm9_gap,embedding,none,none,none,1,100,0.74495,0.38527,0.50503,0.50503,0.86899,0.87874
qm9_gap,penultimate,none,none,none,4,100,0.75446,0.3778,0.49552,0.49552,0.86875,0.883
qm9_lumo,penultimate,none,none,none,8,100,0.75669,0.37513,0.49327,0.49327,0.87118,0.86648
qm9_h298,embedding,none,none,none,4,100,0.49088,0.52373,0.71352,0.71352,0.7205,0.74434
qm9_cv,penultimate,none,none,none,6,100,0.66592,0.44687,0.578,0.578,0.82386,0.82548
qm9_h298,embedding,none,none,none,9,100,0.42308,0.56918,0.75956,0.75956,0.67856,0.70175
qm9_zpve,penultimate,none,none,none,8,100,0.8275,0.32725,0.41533,0.41533,0.92204,0.91561
polygas_He,ensemble,none,none,none,5,100,0.65563,0.3466,0.58683,0.58683,0.81328,0.81748
polygas_N2,embedding,none,none,none,4,100,0.77486,0.28857,0.47449,0.47449,0.88325,0.90071
qm9_r2,penultimate,none,none,none,9,100,0.54236,0.49859,0.67649,0.67649,0.73845,0.69778
polygas_O2,penultimate,none,none,none,3,100,0.74803,0.30343,0.50197,0.50197,0.86573,0.8742
qm9_zpve,embedding,none,none,none,9,100,0.85627,0.29623,0.37912,0.37912,0.92872,0.91969
qm9_u298,embedding,none,none,none,0,100,0.49315,0.54169,0.71193,0.71193,0.72723,0.73771
qm9_zpve,embedding,none,none,none,4,100,0.77869,0.37294,0.47044,0.47044,0.89526,0.88757
polygas_CO2,penultimate,none,none,none,6,100,0.7597,0.29921,0.4902,0.4902,0.87776,0.88913
qm9_homo,embedding,none,none,none,9,100,0.46842,0.53966,0.72909,0.72909,0.68562,0.65757
qm9_g298,embedding,none,none,none,9,100,0.42619,0.55428,0.7575,0.7575,0.66485,0.68964
qm9_lumo,penultimate,none,none,none,6,100,0.7675,0.36312,0.48218,0.48218,0.88188,0.88023
qm9_alpha,embedding,none,none,none,8,100,0.58482,0.47675,0.64435,0.64435,0.77071,0.78221
polymer_mt,ensemble,none,none,none,9,100,0.51055,0.53019,0.6996,0.6996,0.72855,0.70765
qm9_homo,embedding,none,none,none,5,100,0.45431,0.55261,0.73871,0.73871,0.67924,0.64528
qm9_gap,penultimate,none,none,none,1,100,0.72129,0.39935,0.52793,0.52793,0.85581,0.86469
qm9_mu,penultimate,none,none,none,2,100,0.22562,0.63196,0.87999,0.87999,0.50927,0.56918
qm9_h298,penultimate,none,none,none,4,100,0.50581,0.52062,0.70299,0.70299,0.71817,0.72435
polygas_CO2,ensemble,none,none,none,2,100,0.7472,0.30703,0.50279,0.50279,0.86483,0.87519
qm9_zpve,embedding,none,none,none,0,100,0.86049,0.28403,0.37351,0.37351,0.93444,0.93107
qm9_u0,embedding,none,none,none,3,100,0.46714,0.53978,0.72997,0.72997,0.70585,0.73693
qm9_u0,penultimate,none,none,none,9,100,0.49542,0.52194,0.71034,0.71034,0.71102,0.73145
qm9_g298,penultimate,none,none,none,5,100,0.55339,0.48572,0.66829,0.66829,0.74701,0.75906
qm9_u0,penultimate,none,none,none,2,100,0.58877,0.45548,0.64127,0.64127,0.769,0.7785
qm9_gap,embedding,none,none,none,5,100,0.73334,0.39316,0.5164,0.5164,0.85912,0.86782
qm9_u298,random,none,none,none,3,100,0.58568,0.46278,0.64367,0.64367,0.76681,0.77018
qm9_u0,random,none,none,none,3,100,0.56626,0.47643,0.65859,0.65859,0.75462,0.76932
bace,random,none,none,none,4,100,0.28104,0.59673,0.84791,0.84791,0.59375,0.56506
chain_gap,ensemble,none,none,none,6,100,0.72409,0.36065,0.52527,0.52527,0.85305,0.87627
qm9_lumo,random,none,none,none,0,100,0.74436,0.38643,0.50561,0.50561,0.87714,0.86855
qm9_zpve,embedding,none,none,none,7,100,0.83885,0.30882,0.40143,0.40143,0.91986,0.91622
polygas_He,embedding,none,none,none,4,100,0.74594,0.30028,0.50404,0.50404,0.86628,0.88137
qm9_cv,penultimate,none,none,none,1,100,0.64529,0.43772,0.59558,0.59558,0.80624,0.81034
lipo,embedding,none,none,none,0,100,0.2409,0.67524,0.87126,0.87126,0.53228,0.52047
qm9_homo,embedding,none,none,none,3,100,0.39457,0.57153,0.77809,0.77809,0.62953,0.60867
polygas_CH4,random,none,none,none,7,100,0.62541,0.3942,0.61204,0.61204,0.80436,0.80373
qm9_alpha,embedding,none,none,none,5,100,0.38179,0.59595,0.78626,0.78626,0.63448,0.66688
polymer_mt,random,none,none,none,0,100,0.36446,0.58575,0.79721,0.79721,0.66726,0.66764
polygas_He,penultimate,none,none,none,9,100,0.73662,0.31115,0.51321,0.51321,0.8613,0.88514
qm9_homo,embedding,none,none,none,7,100,0.44282,0.55656,0.74645,0.74645,0.6664,0.65135
qm9_alpha,penultimate,none,none,none,8,100,0.53833,0.49189,0.67946,0.67946,0.73578,0.76303
polygas_CH4,penultimate,none,none,none,6,100,0.74746,0.28933,0.50253,0.50253,0.86741,0.86835
logp,penultimate,none,none,none,6,100,0.49195,0.52964,0.71278,0.71278,0.7163,0.702
qm9_r2,penultimate,none,none,none,0,100,0.48738,0.50616,0.71598,0.71598,0.70742,0.70681
polygas_H2,random,none,none,none,0,100,0.76501,0.302,0.48476,0.48476,0.87759,0.88644
sublimation,penultimate,none,none,none,9,100,0.62397,0.40848,0.61322,0.61322,0.79465,0.79425
polymer_o2,ensemble,none,none,none,7,100,0.86215,0.20358,0.37127,0.37127,0.93178,0.36535
sublimation,penultimate,none,none,none,8,100,0.7283,0.36468,0.52125,0.52125,0.85405,0.85383
qm9_zpve,random,none,none,none,8,100,0.84233,0.30529,0.39707,0.39707,0.92669,0.9244
polymer_density,embedding,none,none,none,9,100,0.59325,0.36975,0.63777,0.63777,0.77027,0.83356
polymer_mt,embedding,none,none,none,8,100,0.445,0.54318,0.74498,0.74498,0.69772,0.68385
freesolv,ensemble,none,none,none,3,100,0.81325,0.30987,0.43215,0.43215,0.90236,0.85827
qm9_zpve,penultimate,none,none,none,1,100,0.82126,0.3276,0.42277,0.42277,0.91718,0.91074
sublimation,ensemble,none,none,none,6,100,0.73588,0.36147,0.51393,0.51393,0.85918,0.85625
qm9_mu,embedding,none,none,none,9,100,0.07259,0.69609,0.96302,0.96302,0.47082,0.51311
sublimation,penultimate,none,none,none,5,100,0.66861,0.38995,0.57566,0.57566,0.8222,0.82503
polygas_H2,embedding,none,none,none,1,100,0.73251,0.32402,0.5172,0.5172,0.8591,0.87151
chain_gap,embedding,none,none,none,8,100,0.70388,0.39516,0.54417,0.54417,0.84245,0.85565
polymer_mt,random,none,none,none,7,100,0.3513,0.5824,0.80542,0.80542,0.63761,0.64465
qm9_g298,penultimate,none,none,none,9,100,0.46457,0.52736,0.73173,0.73173,0.68258,0.716
qm9_gap,embedding,none,none,none,9,100,0.70566,0.41202,0.54253,0.54253,0.84616,0.85435
chain_gap,penultimate,none,none,none,9,100,0.62997,0.41463,0.6083,0.6083,0.80097,0.83506
polygas_H2,ensemble,none,none,none,0,100,0.72005,0.30734,0.5291,0.5291,0.86073,0.86974
polymer_tg,random,none,none,none,4,100,0.63891,0.44743,0.60091,0.60091,0.8018,0.80766
