Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
qm9_cv,ensemble,none,none,none,1,100,0.64307,0.43429,0.59743,0.59743,0.80547,0.81678
qm9_cv,ensemble,none,none,none,5,100,0.68831,0.42006,0.55829,0.55829,0.82989,0.82459
qm9_lumo,ensemble,none,none,none,1,100,0.80465,0.33693,0.44198,0.44198,0.8979,0.89703
qm9_lumo,ensemble,none,none,none,8,100,0.78631,0.36288,0.46226,0.46226,0.89776,0.89779
qm9_cv,ensemble,none,none,none,8,100,0.63701,0.4409,0.60249,0.60249,0.79825,0.80381
qm9_u298,ensemble,none,none,none,9,100,0.49288,0.47265,0.71212,0.71212,0.71077,0.74669
qm9_u298,ensemble,none,none,none,5,100,0.51172,0.47199,0.69877,0.69877,0.71626,0.76264
qm9_alpha,ensemble,none,none,none,6,100,0.58045,0.46909,0.64772,0.64772,0.76287,0.78324
qm9_r2,ensemble,none,none,none,6,100,0.56409,0.49669,0.66023,0.66023,0.77572,0.73946
qm9_mu,ensemble,none,none,none,0,100,0.25694,0.64246,0.86201,0.86201,0.52758,0.52416
qm9_cv,ensemble,none,none,none,0,100,0.71596,0.39432,0.53296,0.53296,0.84731,0.85333
qm9_mu,ensemble,none,none,none,6,100,0.224,0.64222,0.88091,0.88091,0.5109,0.55833
qm9_cv,ensemble,none,none,none,9,100,0.72539,0.36871,0.52403,0.52403,0.85493,0.86515
qm9_r2,ensemble,none,none,none,7,100,0.52111,0.51288,0.69202,0.69202,0.72606,0.63889
polymer_tg,hallucinate,none,none,none,5,100,0.60333,0.47842,0.62982,0.62982,0.81727,0.82458
polymer_tg,hallucinate,none,none,none,4,100,0.66378,0.44588,0.57984,0.57984,0.82708,0.83868
polymer_tg,hallucinate,none,none,none,1,100,0.71655,0.4051,0.5324,0.5324,0.84968,0.85369
polymer_tg,hallucinate,none,none,none,2,100,0.67503,0.43066,0.57006,0.57006,0.82744,0.83559
logp,hallucinate,none,none,none,0,100,0.41868,0.56715,0.76244,0.76244,0.64977,0.62245
logp,hallucinate,none,none,none,9,100,0.4596,0.54933,0.73512,0.73512,0.6793,0.67003
pcqm4mv2_small,hallucinate,none,none,none,0,100,0.53847,0.51383,0.67936,0.67936,0.75338,0.73059
pcqm4mv2_small,hallucinate,none,none,none,6,100,0.52177,0.52218,0.69154,0.69154,0.73686,0.72625
qm9_gap,hallucinate,none,none,none,6,100,0.70543,0.43332,0.54275,0.54275,0.84525,0.85405
qm9_alpha,hallucinate,none,none,none,3,100,0.56585,0.48432,0.6589,0.6589,0.7618,0.76956
qm9_alpha,hallucinate,none,none,none,0,100,0.44786,0.48313,0.74306,0.74306,0.7231,0.74057
qm9_alpha,hallucinate,none,none,none,4,100,0.53521,0.53217,0.68176,0.68176,0.80063,0.77556
qm9_r2,hallucinate,none,none,none,2,100,0.65251,0.44576,0.58948,0.58948,0.81689,0.75872
qm9_r2,hallucinate,none,none,none,8,100,0.6103,0.47975,0.62426,0.62426,0.79869,0.69409
qm9_alpha,hallucinate,none,none,none,9,100,0.61031,0.49265,0.62425,0.62425,0.80693,0.77139
qm9_g298,hallucinate,none,none,none,0,100,0.24006,0.71169,0.87175,0.87175,0.76842,0.72958
qm9_homo,hallucinate,none,none,none,9,100,0.28651,0.64892,0.84469,0.84469,0.63528,0.51096
qm9_u0,hallucinate,none,none,none,9,100,0.52882,0.5429,0.68642,0.68642,0.74005,0.67027
qm9_u0,hallucinate,none,none,none,7,100,0.56851,0.48555,0.65688,0.65688,0.7624,0.77155
qm9_u0,hallucinate,none,none,none,3,100,0.74327,0.36518,0.50669,0.50669,0.86795,0.84779
qm9_homo,hallucinate,none,none,none,6,100,0.31296,0.62134,0.82888,0.82888,0.61973,0.55708
qm9_lumo,hallucinate,none,none,none,7,100,0.7029,0.43455,0.54507,0.54507,0.84432,0.84031
qm9_homo,hallucinate,none,none,none,8,100,0.55526,0.51123,0.66689,0.66689,0.74698,0.68025
qm9_cv,hallucinate,none,none,none,6,100,0.74924,0.39972,0.50076,0.50076,0.87837,0.86751
qm9_g298,hallucinate,none,none,none,2,100,0.67281,0.42754,0.57201,0.57201,0.82841,0.80845
qm9_homo,hallucinate,none,none,none,3,100,0.32761,0.62265,0.82,0.82,0.66834,0.5868
qm9_g298,hallucinate,none,none,none,8,100,0.67099,0.46024,0.5736,0.5736,0.86981,0.83781
qm9_u298,hallucinate,none,none,none,5,100,0.51476,0.50914,0.69659,0.69659,0.7425,0.75256
qm9_zpve,hallucinate,none,none,none,9,100,0.91386,0.22806,0.29349,0.29349,0.95836,0.9551
qm9_cv,hallucinate,none,none,none,8,100,0.7134,0.39709,0.53535,0.53535,0.84566,0.84288
qm9_cv,hallucinate,none,none,none,4,100,0.55127,0.54367,0.66987,0.66987,0.83741,0.81259
qm9_mu,hallucinate,none,none,none,0,100,0.11577,0.69717,0.94033,0.94033,0.41913,0.42781
qm9_u298,hallucinate,none,none,none,8,100,0.655,0.4685,0.58736,0.58736,0.84577,0.79533
qm9_zpve,hallucinate,none,none,none,6,100,0.84635,0.31207,0.39198,0.39198,0.9323,0.92499
qm9_lumo,hallucinate,none,none,none,5,100,0.69458,0.44195,0.55265,0.55265,0.83589,0.83255
qm9_lumo,hallucinate,none,none,none,3,100,0.72312,0.42182,0.52619,0.52619,0.87721,0.87272
qm9_cv,hallucinate,none,none,none,0,100,0.70813,0.35923,0.54025,0.54025,0.86187,0.87084
qm9_u0,hallucinate,none,none,none,5,100,0.57753,0.49092,0.64997,0.64997,0.79169,0.77255
qm9_mu,hallucinate,none,none,none,9,100,-0.1567,0.80565,1.0755,1.0755,0.36437,0.36343
qm9_lumo,hallucinate,none,none,none,6,100,0.62175,0.48967,0.61502,0.61502,0.82391,0.82886
qm9_u298,hallucinate,none,none,none,6,100,0.67372,0.44007,0.57121,0.57121,0.82912,0.7922
qm9_u298,hallucinate,none,none,none,4,100,0.10374,0.78039,0.94671,0.94671,0.71786,0.66713
qm9_lumo,hallucinate,none,none,none,1,100,0.75591,0.37874,0.49405,0.49405,0.87676,0.86204
qm9_g298,hallucinate,none,none,none,5,100,0.56777,0.51554,0.65744,0.65744,0.81555,0.78025
qm9_zpve,hallucinate,none,none,none,0,100,0.84892,0.31202,0.38869,0.38869,0.9334,0.92782
qm9_u298,hallucinate,none,none,none,0,100,0.32705,0.67198,0.82033,0.82033,0.79649,0.7597
freesolv,top,none,none,none,1,100,0.22652,0.60131,0.87948,0.87948,0.49896,0.55653
freesolv,top,none,none,none,5,100,0.28748,0.62628,0.84411,0.84411,0.54863,0.54965
freesolv,top,none,none,none,2,100,0.243,0.62826,0.87006,0.87006,0.51354,0.52576
freesolv,top,none,none,none,7,100,0.29318,0.61929,0.84073,0.84073,0.58337,0.59876
freesolv,top,none,none,none,6,100,0.34073,0.5451,0.81196,0.81196,0.62307,0.6651
esol,top,none,none,none,9,100,0.44188,0.58178,0.74707,0.74707,0.69038,0.62876
freesolv,top,none,none,none,4,100,0.10056,0.67085,0.94839,0.94839,0.49514,0.53596
esol,top,none,none,none,8,100,0.46027,0.57205,0.73466,0.73466,0.68001,0.63926
esol,top,none,none,none,7,100,0.50974,0.55288,0.70019,0.70019,0.71585,0.64667
sublimation,top,none,none,none,6,100,0.5122,0.52787,0.69843,0.69843,0.7223,0.72878
sublimation,top,none,none,none,7,100,0.02834,0.75224,0.98573,0.98573,0.30263,0.29362
sublimation,top,none,none,none,1,100,0.36624,0.59406,0.79609,0.79609,0.62978,0.62485
freesolv,top,none,none,none,8,100,0.29739,0.57182,0.83822,0.83822,0.56433,0.62301
bace,top,none,none,none,6,100,-0.59267,1.03976,1.26201,1.26201,0.39952,0.3758
