,polymer_dD,polymer_dP,polymer_dH,solv_dD,solv_dP,solv_dH,Mw (Da),PDI,ϕ,P (MPa),target
310,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.1454,1.53,42.9
311,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.23741,1.86,63.87
312,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.1258,1.61,38.34
313,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.01296,3.0,197.0
314,17.2,3.53,1.84,16.08,15.6,4.73,85200.0,1.02,0.10595,2.3,14.65
315,18.3,3.6,3.03,15.59,5.93,7.25,233000.0,1.06,0.01723,0.1,154.2
316,18.3,3.6,3.03,16.06,0.22,0.47,97200.0,1.06,0.06075,0.1,48.18
317,18.3,3.6,3.03,15.51,10.18,6.73,11700.0,1.03,0.16684,1.42,0.6
318,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.23818,7.68,22.56
319,18.3,3.6,3.03,16.07,0.18,0.55,106300.0,1.06,0.11557,0.55,53.86
320,13.7,3.48,2.56,15.12,0.15,0.21,67100.0,1.1,0.03633,3.5,164.0
321,15.6,7.41,4.86,17.31,5.07,12.86,68000.0,1.03,0.08229,0.1,73.54
322,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.0977,0.1,26.05
323,18.3,3.6,3.03,16.8,0.19,0.95,41000.0,5.12,0.03423,0.1,25.7
324,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.02377,9.05,24.77
325,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.0535,0.1,133.85
326,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0846,0.1,23.83
327,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.0442,0.1,135.05
328,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.09728,60.9,19.74
329,15.6,7.41,4.86,17.31,5.07,12.86,280000.0,1.06,0.00214,0.1,74.27
330,17.5,2.82,2.73,15.89,4.11,5.7,61400.0,1.05,0.02458,0.1,219.9
331,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.199,3.93,155.55
332,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.0944,4.39,23.21
333,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.07507,2.14,63.93
334,13.7,3.48,2.56,16.67,0.1,1.48,106000.0,5.27,0.04915,7.54,229.4
335,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.15429,3.3,70.52
336,17.2,3.53,1.84,15.51,10.18,6.73,26900.0,1.06,0.18032,0.47,6.15
337,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.07007,2.4,163.8
338,17.2,3.53,1.84,16.07,0.18,0.55,26900.0,1.06,0.1428,0.7,30.05
339,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.01836,31.29,46.98
340,18.3,3.6,3.03,16.8,0.19,0.95,101400.0,1.09,0.08164,3.8,232.99
341,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.0307,1.24,47.79
342,18.3,3.6,3.03,14.34,0.12,0.09,1240.0,1.07,0.0542,0.1,-17.15
343,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.0977,1.26,23.74
344,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.2048,2.26,6.11
345,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.1245,4.66,42.0
346,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.05369,9.02,217.01
347,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.1109,0.1,25.34
348,14.0,6.51,6.76,15.11,15.72,38.81,8420.0,1.25,0.36441,0.1,274.7
349,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.14593,0.28,50.84
350,13.7,3.48,2.56,16.87,2.7,2.26,106000.0,5.27,0.05096,4.86,216.0
351,13.7,3.48,2.56,14.52,0.14,0.16,27700.0,1.99,0.04544,9.24,150.0
352,15.6,7.41,4.86,17.31,5.07,12.86,68000.0,1.03,0.00602,0.1,72.24
353,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0429,0.1,23.76
354,18.3,3.6,3.03,16.8,0.19,0.95,2000000.0,1.3,0.017,0.1,29.71
355,13.7,3.48,2.56,15.12,0.15,0.21,383000.0,1.19,0.00431,10.1,205.0
356,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.0132,21.76,49.08
357,18.3,3.6,3.03,16.8,0.19,0.95,123000.0,1.06,0.129,0.1,21.27
358,18.3,3.6,3.03,16.06,0.22,0.47,250000.0,3.91,0.01548,6.55,55.35
359,14.0,6.51,6.76,15.11,15.72,38.81,100000.0,2.0,0.02676,0.1,102.6
360,13.8,3.38,4.26,15.51,10.18,6.73,44500.0,1.51,0.57217,0.1,31.0
361,14.9,5.29,2.86,18.17,1.95,2.49,75000.0,1.16,0.05254,100.0,36.0
362,18.3,3.6,3.03,15.26,14.41,5.54,22000.0,1.03,0.16084,1.45,147.65
363,18.3,3.6,3.03,16.8,0.19,0.95,320000.0,2.5,0.03226,0.1,26.0
364,18.3,3.6,3.03,15.59,5.93,7.25,600000.0,1.1,0.05986,0.1,148.5
365,18.3,3.6,3.03,16.8,0.19,0.95,190000.0,1.04,0.01027,0.1,22.37
366,18.3,3.6,3.03,15.89,4.11,5.7,1971000.0,1.26,0.00836,0.1,235.5
367,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.23404,81.49,18.98
368,18.3,3.6,3.03,15.51,10.18,6.73,22100.0,1.03,0.08597,0.31,57.73
369,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0417,0.1,23.75
370,18.3,3.6,3.03,15.3,2.65,0.56,123000.0,1.06,0.058,0.1,24.86
371,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.14197,80.0,21.19
372,18.3,3.6,3.03,16.06,0.22,0.47,670000.0,1.1,0.04244,0.1,61.46
373,13.7,3.48,2.56,14.52,0.14,0.16,27700.0,1.99,0.04544,11.79,170.0
