,polymer_dD,polymer_dP,polymer_dH,solv_dD,solv_dP,solv_dH,Mw (Da),PDI,ϕ,P (MPa),target
756,17.2,3.53,1.84,15.51,10.18,6.73,10500.0,1.02,0.17593,2.02,-38.55
757,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.2538,0.1,133.15
758,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.14905,0.1,26.0
759,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.13391,4.56,163.83
760,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.2608,0.1,133.45
761,18.3,3.6,3.03,16.06,0.22,0.47,10200.0,1.06,0.1576,0.1,12.48
762,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.21703,5.4,263.5
763,16.3,9.79,7.12,15.11,15.72,38.81,10000.0,4.55,0.53388,0.1,27.65
764,14.0,6.51,6.76,15.11,15.72,38.81,4490.0,1.13,0.27177,0.1,254.3
765,18.3,3.6,3.03,16.06,0.22,0.47,34900.0,1.06,0.09767,2.65,34.95
766,18.3,3.6,3.03,16.06,0.22,0.47,46400.0,1.06,0.2501,0.1,36.62
767,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0551,0.1,23.83
768,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.14369,3.51,53.0
769,18.3,3.6,3.03,16.06,0.22,0.47,2700000.0,1.1,0.03459,0.1,215.4
770,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.00983,0.1,23.0
771,18.3,3.6,3.03,15.3,2.65,0.56,2000000.0,1.3,0.014,0.1,34.1
772,18.3,3.6,3.03,16.8,0.19,0.95,100000.0,1.06,0.02243,0.1,229.8
773,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.14329,3.99,182.14
774,18.3,3.6,3.03,16.8,0.19,0.95,423300.0,1.24,0.06576,0.1,25.35
775,17.2,3.53,1.84,16.08,15.6,4.73,85200.0,1.02,0.07502,3.53,14.06
776,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.14593,2.77,109.99
777,18.3,3.6,3.03,17.31,5.07,12.86,849000.0,1.45,0.01717,0.1,80.35
778,18.3,3.6,3.03,14.17,0.11,0.07,1240.0,1.07,0.11237,0.1,36.65
779,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.01439,0.1,27.75
780,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.0056,3.96,182.25
781,18.3,3.6,3.03,16.8,0.19,0.95,190000.0,1.04,0.02409,0.1,23.46
782,18.3,3.6,3.03,15.08,4.12,5.69,233000.0,1.06,0.12799,0.1,-5.9
783,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.26143,0.1,20.0
784,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.05859,18.93,20.09
785,18.3,3.6,3.03,17.31,5.07,12.86,4215.0,1.07,0.03667,0.1,39.76
786,18.3,3.6,3.03,16.8,0.19,0.95,2700000.0,1.1,0.02251,0.1,215.92
787,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.1977,3.7,23.29
788,18.3,3.6,3.03,17.49,0.16,0.04,90000.0,1.04,0.04516,0.1,7.9
789,18.3,3.6,3.03,16.06,0.22,0.47,2700000.0,1.1,0.00792,0.1,66.0
790,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04552,7.99,207.35
791,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.08527,2.04,11.55
792,18.3,3.6,3.03,16.06,0.22,0.47,18700.0,1.06,0.2557,0.1,22.7
793,18.3,3.6,3.03,16.8,0.19,0.95,2000000.0,1.3,0.029,0.1,29.77
794,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.17954,80.0,21.22
795,16.3,9.79,7.12,15.11,15.72,38.81,124000.0,1.49,0.49228,0.1,26.78
796,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.1432,3.46,139.5
797,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0169,0.1,22.87
798,18.3,3.6,3.03,16.67,0.1,1.48,43000.0,1.01,0.03017,0.1,182.4
799,13.7,3.48,2.56,15.12,0.15,0.21,60360.0,2.57,0.11496,1.4,169.88
800,15.6,7.41,4.86,16.05,5.63,3.84,596000.0,1.04,0.0189,0.1,59.84
801,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.06059,5.33,187.65
802,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.19629,5.41,190.78
803,18.3,3.6,3.03,16.06,0.22,0.47,37000.0,1.06,0.08021,0.1,245.68
804,18.3,3.6,3.03,15.12,0.15,0.21,1240.0,1.07,0.1082,0.1,1.45
805,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.0052,0.1,29.5
806,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04885,2.59,167.65
807,14.0,6.51,6.76,15.11,15.72,38.81,15481.0,1.27,0.2128,0.1,116.75
808,18.3,3.6,3.03,16.8,0.19,0.95,13200000.0,1.13,0.001,0.1,31.03
809,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.09173,1.14,163.51
810,17.2,3.53,1.84,16.08,15.6,4.73,85200.0,1.02,0.12316,4.86,14.35
811,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.17425,3.25,-3.96
812,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.139,3.54,42.0
813,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.2242,0.95,146.47
814,13.8,3.38,4.26,18.12,4.96,6.37,44500.0,1.51,0.01341,0.1,84.8
815,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.12638,1.19,102.93
816,18.3,3.6,3.03,15.51,10.18,6.73,7800.0,1.19,0.15849,0.1,-18.69
817,18.3,3.6,3.03,16.8,0.19,0.95,190000.0,1.04,0.0658,0.1,24.01
818,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.1509,0.1,24.07
819,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.15915,13.05,29.65
820,16.3,9.79,7.12,15.11,15.72,38.81,615000.0,2.04,0.03256,0.1,33.35
821,18.3,3.6,3.03,15.57,10.24,6.84,7800.0,1.18,0.25605,0.1,11.57
822,18.3,3.6,3.03,16.8,0.19,0.95,400000.0,1.06,0.012,0.1,25.24
823,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.09681,14.05,28.53
824,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.14369,3.1,53.2
825,18.3,3.6,3.03,16.06,0.22,0.47,250000.0,3.91,0.02429,11.8,53.2
826,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.13391,3.2,93.25
827,14.2,5.27,5.19,15.11,15.72,38.81,20000.0,2.5,0.01943,0.1,37.6
828,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.023,0.1,140.25
829,18.3,3.6,3.03,15.89,4.11,5.7,233000.0,1.06,0.06687,0.1,246.5
830,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.199,5.45,85.3
831,18.3,3.6,3.03,16.8,0.19,0.95,769500.0,1.28,0.11208,0.1,25.92
832,18.3,3.6,3.03,16.06,0.22,0.47,13000.0,1.06,0.18557,0.1,18.19
833,18.3,3.6,3.03,16.8,0.19,0.95,320000.0,2.5,0.03682,0.1,26.0
834,13.7,3.48,2.56,15.12,0.15,0.21,67100.0,1.1,0.02708,8.1,198.0
835,18.3,3.6,3.03,16.06,0.22,0.47,46400.0,1.06,0.1545,0.1,39.36
836,17.5,2.82,2.73,16.8,0.19,0.95,424000.0,1.55,0.0588,0.1,25.1
837,18.3,3.6,3.03,16.06,0.22,0.47,10200.0,1.06,0.15197,11.28,11.43
838,18.3,3.6,3.03,16.8,0.19,0.95,769500.0,1.28,0.08502,0.1,26.73
839,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.046,0.1,30.45
840,18.3,3.6,3.03,16.67,0.1,1.48,1300000.0,1.05,0.00649,0.1,13.6
841,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.16955,2.66,172.26
842,18.3,3.6,3.03,16.8,0.19,0.95,190500.0,2.29,0.0319,0.1,26.58
843,17.5,2.82,2.73,15.88,3.86,5.39,31200.0,1.2,0.10001,0.1,-34.3
844,18.3,3.6,3.03,17.49,0.16,0.04,270000.0,2.0,0.084,20.0,10.55
845,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.23404,50.41,18.25
846,17.5,2.82,2.73,15.88,3.86,5.39,76500.0,1.1,0.05796,0.1,11.4
847,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.15967,0.1,23.52
848,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.0861,0.44,23.66
849,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.11749,1.29,163.51
850,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.19135,0.1,21.99
851,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.04638,1.04,160.25
852,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.1258,4.48,37.62
853,18.3,3.6,3.03,16.8,0.19,0.95,400000.0,1.06,0.00319,0.1,224.14
854,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04449,8.75,54.96
855,14.0,6.51,6.76,15.11,15.72,38.81,3350.0,1.6,0.06271,0.1,244.9
856,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.2348,3.0,5.64
857,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.29918,2.71,-3.63
858,17.5,2.82,2.73,15.89,4.11,5.7,61400.0,1.05,0.00816,0.1,-9.8
859,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0314,0.1,23.57
860,17.2,3.53,1.84,16.08,15.6,4.73,85200.0,1.02,0.08955,0.27,14.91
861,16.3,9.79,7.12,15.11,15.72,38.81,258000.0,2.15,0.02689,60.95,34.75
862,13.7,3.48,2.56,14.52,0.14,0.16,41700.0,3.69,0.02774,11.17,130.0
863,13.7,3.48,2.56,15.12,0.15,0.21,105000.0,2.44,0.10303,6.13,204.55
864,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.0049,17.42,49.48
865,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.0056,3.27,177.32
866,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.20253,0.84,-1.62
867,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.1768,3.13,70.65
868,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.20546,3.13,96.88
869,17.2,3.53,1.84,16.08,15.6,4.73,85200.0,1.02,0.1397,4.77,14.34
870,18.3,3.6,3.03,16.06,0.22,0.47,16100.0,1.06,0.07483,11.57,21.13
871,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04777,9.62,221.74
872,18.3,3.6,3.03,16.06,0.22,0.47,250000.0,3.91,0.0378,2.4,57.2
873,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.0337,3.51,40.89
874,15.6,7.41,4.86,16.05,5.63,3.84,143000.0,1.04,0.1082,0.1,49.87
875,18.3,3.6,3.03,16.8,0.19,0.95,123000.0,1.06,0.037,0.1,20.96
876,18.3,3.6,3.03,16.06,0.22,0.47,34900.0,1.06,0.3057,0.1,30.89
877,17.5,2.82,2.73,16.06,0.22,0.47,32900.0,1.02,0.06651,0.1,43.85
878,18.3,3.6,3.03,16.8,0.19,0.95,142100.0,1.09,0.0498,0.1,20.7
879,18.3,3.6,3.03,15.48,7.15,7.95,100000.0,1.06,0.03459,0.1,124.8
880,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.0132,18.13,50.21
881,18.3,3.6,3.03,16.8,0.19,0.95,25000.0,1.06,0.069,0.1,6.69
882,18.3,3.6,3.03,16.08,15.6,4.73,129200.0,1.03,0.025,4.55,45.2
883,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.14128,2.57,38.03
884,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0891,0.1,23.81
885,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.20769,2.45,35.91
886,18.3,3.6,3.03,16.06,0.22,0.47,34900.0,1.06,0.09767,78.36,29.76
887,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.16581,70.0,20.91
888,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.12382,0.1,27.0
889,18.3,3.6,3.03,16.06,0.22,0.47,37900.0,1.01,0.05456,0.1,36.2
890,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.02952,0.1,25.46
891,18.3,3.6,3.03,17.49,0.16,0.04,270000.0,2.0,0.172,60.0,14.15
892,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.21859,3.12,58.06
893,18.3,3.6,3.03,16.43,15.41,6.15,90100.0,1.04,0.0995,3.5,66.71
894,14.0,6.51,6.76,15.11,15.72,38.81,11615.0,1.11,0.0241,0.1,137.5
895,15.2,2.6,3.31,15.88,6.1,15.39,728000.0,1.29,0.06941,0.1,32.8
896,17.5,2.82,2.73,15.7,4.47,6.46,61400.0,1.05,0.01634,0.1,197.3
897,18.3,3.6,3.03,16.8,0.19,0.95,25000.0,1.06,0.153,0.1,7.13
898,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.1491,0.1,22.82
899,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.2265,0.1,22.0
900,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.1654,3.64,23.69
901,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.08458,0.1,24.64
902,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.06592,4.05,29.57
903,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.0392,0.1,135.85
904,18.3,3.6,3.03,17.49,0.16,0.04,270000.0,2.0,0.084,30.0,11.25
905,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.21546,70.0,20.64
906,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.3649,4.02,15.95
907,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0769,0.1,23.84
908,15.6,7.41,4.86,16.05,5.63,3.84,95000.0,1.04,0.0419,0.1,42.99
909,18.3,3.6,3.03,16.67,0.1,1.48,171900.0,1.03,0.02813,0.1,169.2
910,13.7,3.48,2.56,15.12,0.15,0.21,108000.0,1.32,0.00546,3.8,170.52
911,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.2348,4.14,5.54
912,14.0,6.51,6.76,15.11,15.72,38.81,8420.0,1.25,0.09061,0.1,288.8
913,18.3,3.6,3.03,16.67,0.1,1.48,354000.0,1.02,0.06692,0.1,164.4
914,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.0074,0.1,27.01
915,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.19798,3.33,56.89
916,13.7,3.48,2.56,15.12,0.15,0.21,108000.0,1.32,0.0224,4.2,170.0
917,18.3,3.6,3.03,15.26,14.41,5.54,8000.0,1.09,0.10221,1.51,-4.73
918,18.3,3.6,3.03,16.8,0.19,0.95,171300.0,1.96,0.0533,0.1,223.84
919,18.3,3.6,3.03,17.31,5.07,12.86,78800.0,1.12,0.03022,0.1,76.89
920,13.7,3.48,2.56,15.12,0.15,0.21,67100.0,1.1,0.03633,2.2,155.0
921,18.3,3.6,3.03,16.06,0.22,0.47,250000.0,3.91,0.02429,5.65,55.86
922,18.3,3.6,3.03,15.57,10.24,6.84,11500.0,1.07,0.26988,0.1,7.56
923,17.5,2.82,2.73,16.67,0.1,1.48,31200.0,1.2,0.04669,0.1,2.1
924,18.3,3.6,3.03,15.48,7.15,7.95,100000.0,1.06,0.00707,0.1,125.0
925,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.14369,7.7,51.43
926,18.3,3.6,3.03,15.51,10.18,6.73,22100.0,1.03,0.1141,0.86,89.16
927,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.14593,4.09,35.04
928,18.3,3.6,3.03,15.3,2.65,0.56,123000.0,1.06,0.067,0.1,24.91
929,13.7,3.48,2.56,14.52,0.14,0.16,41700.0,3.69,0.02774,13.65,150.0
930,17.5,2.82,2.73,16.8,0.19,0.95,227000.0,1.27,0.0679,0.1,23.3
931,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.1094,4.39,141.98
932,18.3,3.6,3.03,16.06,0.22,0.47,109000.0,1.06,0.1471,0.1,48.85
933,18.3,3.6,3.03,16.8,0.19,0.95,769500.0,1.28,0.00781,0.1,25.51
934,18.3,3.6,3.03,16.8,0.19,0.95,670000.0,1.1,0.01155,0.1,27.4
935,16.3,9.79,7.12,15.11,15.72,38.81,124000.0,1.49,0.06856,0.1,29.25
936,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04449,10.65,54.16
937,16.3,9.79,7.12,15.11,15.72,38.81,124000.0,1.49,0.52622,0.1,27.08
938,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.00805,8.6,53.23
939,18.3,3.6,3.03,15.53,0.16,0.23,1240.0,1.07,0.26415,0.1,4.15
940,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.12664,3.4,96.81
941,15.6,7.41,4.86,16.05,5.63,3.84,227000.0,1.04,0.015,0.1,51.33
942,18.3,3.6,3.03,16.8,0.19,0.95,239000.0,2.78,0.0906,0.1,25.83
943,18.3,3.6,3.03,15.26,14.41,5.54,13500.0,1.06,0.12673,2.55,34.14
944,14.0,6.51,6.76,15.11,15.72,38.81,100000.0,2.0,0.06271,0.1,105.3
945,14.2,5.27,5.19,15.11,15.72,38.81,20000.0,2.5,0.49261,0.1,29.5
946,18.3,3.6,3.03,14.34,0.11,0.13,1240.0,1.07,0.09308,0.1,12.05
947,18.3,3.6,3.03,16.67,0.1,1.48,171900.0,1.03,0.05033,0.1,168.8
948,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.1126,4.62,23.43
949,18.3,3.6,3.03,15.57,10.24,6.84,13500.0,1.06,0.08534,1.05,61.4
950,18.3,3.6,3.03,16.8,0.19,0.95,415000.0,1.06,0.043,0.1,26.98
951,18.3,3.6,3.03,15.3,2.65,0.56,13200000.0,1.13,0.0185,0.1,36.7
952,18.3,3.6,3.03,16.8,0.19,0.95,423300.0,1.24,0.05917,0.1,25.43
953,16.3,9.79,7.12,15.11,15.72,38.81,258000.0,2.15,0.00355,60.95,34.85
954,17.2,3.53,1.84,15.57,10.24,6.84,26900.0,1.06,0.12664,4.45,57.19
955,15.6,7.41,4.86,16.05,5.63,3.84,26900.0,1.11,0.0968,0.1,20.04
956,14.0,6.51,6.76,15.11,15.72,38.81,15481.0,1.27,0.0274,0.1,116.2
957,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.07007,0.92,148.44
958,14.0,6.51,6.76,15.11,15.72,38.81,15481.0,1.27,0.0435,0.1,115.6
959,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.22136,2.5,172.31
960,16.3,9.79,7.12,15.11,15.72,38.81,10000.0,4.55,0.02269,0.1,32.48
961,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.09351,10.0,22.52
962,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04885,3.35,172.58
963,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.0513,0.1,30.4
964,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.0861,5.33,22.91
965,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.12673,1.14,146.74
966,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.16955,0.67,33.69
967,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.17486,3.05,31.81
968,15.6,7.41,4.86,16.05,5.63,3.84,95000.0,1.04,0.1338,0.1,43.54
969,18.3,3.6,3.03,16.06,0.22,0.47,250000.0,3.91,0.0378,1.45,57.76
970,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.1059,2.42,42.9
971,18.3,3.6,3.03,15.26,14.41,5.54,22100.0,1.03,0.04638,0.89,64.15
972,17.2,3.53,1.84,16.08,15.6,4.73,27200.0,1.03,0.19746,2.75,-4.08
973,17.5,2.82,2.73,16.06,0.22,0.47,75600.0,1.05,0.01397,0.1,53.85
974,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.11488,6.84,202.12
975,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.17331,0.36,44.16
976,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.1179,5.72,6.04
977,18.3,3.6,3.03,16.8,0.19,0.95,335500.0,1.69,0.07147,0.1,24.66
978,16.3,9.79,7.12,15.11,15.72,38.81,124000.0,1.49,0.02278,0.1,30.11
979,18.3,3.6,3.03,16.05,3.63,9.16,4000.0,1.08,0.34633,0.1,106.6
980,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.19162,0.1,24.43
981,18.3,3.6,3.03,16.8,0.19,0.95,600000.0,1.1,0.0369,0.1,28.21
982,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.24359,2.99,71.82
983,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.03563,19.4,51.29
984,17.5,2.82,2.73,15.7,4.47,6.46,61400.0,1.05,0.02456,0.1,195.7
985,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00718,1.22,162.8
986,18.3,3.6,3.03,16.05,3.63,9.16,235000.0,2.1,0.60573,0.1,120.1
987,18.3,3.6,3.03,15.3,2.65,0.56,13200000.0,1.13,0.0093,0.1,36.73
988,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04827,2.75,233.97
989,18.3,3.6,3.03,16.06,0.22,0.47,20200.0,1.06,0.1003,0.1,25.54
990,18.3,3.6,3.03,16.08,15.6,4.73,90100.0,1.04,0.1651,4.04,41.3
991,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.2284,2.76,156.31
992,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.17331,0.65,43.03
993,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.1799,2.83,6.21
994,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.0019,0.1,28.62
995,18.3,3.6,3.03,16.06,0.22,0.47,18700.0,1.06,0.12,0.1,23.3
996,18.3,3.6,3.03,15.57,10.24,6.84,13500.0,1.06,0.11126,1.28,96.14
997,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.03563,3.08,57.83
998,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00718,2.74,172.78
999,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.14756,0.99,162.74
1000,18.3,3.6,3.03,17.49,0.16,0.04,270000.0,2.0,0.216,70.0,8.35
1001,18.3,3.6,3.03,15.3,2.65,0.56,400000.0,1.06,0.057,0.1,30.16
1002,14.0,6.51,6.76,15.11,15.72,38.81,6197.0,1.02,0.0335,0.1,136.85
1003,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.11488,5.56,192.22
1004,18.3,3.6,3.03,17.49,0.16,0.04,90000.0,1.04,0.09746,0.1,8.2
1005,18.3,3.6,3.03,16.8,0.19,0.95,123000.0,1.06,0.014,0.1,19.65
1006,18.3,3.6,3.03,16.8,0.19,0.95,670000.0,1.1,0.05104,0.1,27.87
1007,17.5,2.82,2.73,16.06,0.22,0.47,75600.0,1.05,0.12319,0.1,54.65
1008,18.3,3.6,3.03,15.51,10.18,6.73,8000.0,1.09,0.17693,1.25,-20.32
1009,18.3,3.6,3.03,16.06,0.22,0.47,14000.0,1.06,0.10812,0.1,19.05
1010,18.3,3.6,3.03,16.06,0.22,0.47,34900.0,1.06,0.09767,51.39,29.61
1011,18.3,3.6,3.03,16.8,0.19,0.95,45300.0,1.01,0.0682,0.1,14.0
1012,18.3,3.6,3.03,16.8,0.19,0.95,142100.0,1.09,0.08635,0.1,20.26
1013,18.3,3.6,3.03,16.8,0.19,0.95,1560000.0,1.03,0.165,0.1,26.02
1014,18.3,3.6,3.03,16.06,0.22,0.47,17500.0,1.06,0.11406,38.55,20.74
1015,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.2048,4.79,5.9
1016,16.3,9.79,7.12,15.11,15.72,38.81,53000.0,1.47,0.04474,0.1,30.35
1017,17.5,2.82,2.73,15.88,3.86,5.39,76500.0,1.1,0.12564,0.1,235.0
1018,18.3,3.6,3.03,16.8,0.19,0.95,190500.0,2.29,0.0452,0.1,25.86
1019,18.3,3.6,3.03,15.3,2.65,0.56,25000.0,1.06,0.192,0.1,10.07
1020,18.3,3.6,3.03,16.8,0.19,0.95,209000.0,2.13,0.0628,0.1,221.72
1021,17.2,3.53,1.84,15.26,14.41,5.54,26700.0,1.05,0.14329,0.86,34.93
1022,18.3,3.6,3.03,16.06,0.22,0.47,97200.0,1.06,0.06075,0.1,232.71
1023,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.13206,3.49,34.95
1024,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.14283,0.1,22.99
1025,14.0,6.51,6.76,15.11,15.72,38.81,8420.0,1.25,0.21112,0.1,123.7
1026,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04449,11.1,53.97
1027,18.3,3.6,3.03,16.06,0.22,0.47,10200.0,1.06,0.15197,50.5,10.68
1028,13.8,3.38,4.26,15.51,10.18,6.73,44500.0,1.51,0.09199,0.1,52.4
1029,18.3,3.6,3.03,16.8,0.19,0.95,423300.0,1.24,0.07444,0.1,25.33
1030,18.3,3.6,3.03,16.08,15.6,4.73,30740.0,1.06,0.0622,3.6,21.93
1031,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.04261,2.02,162.55
1032,13.7,3.48,2.56,15.12,0.15,0.21,105000.0,2.44,0.05961,10.6,239.85
1033,18.3,3.6,3.03,16.06,0.22,0.47,18700.0,1.06,0.2338,0.1,23.08
1034,13.7,3.48,2.56,15.12,0.15,0.21,383000.0,1.19,0.0126,9.1,196.0
1035,18.3,3.6,3.03,16.8,0.19,0.95,335500.0,1.69,0.0372,0.1,25.14
1036,13.7,3.48,2.56,15.12,0.15,0.21,105000.0,2.44,0.00992,9.82,229.85
1037,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.0714,1.56,4.42
1038,13.7,3.48,2.56,15.12,0.15,0.21,6500.0,1.04,0.06239,3.4,193.0
1039,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.11556,1.05,31.88
1040,13.8,3.38,4.26,13.11,1.34,1.95,16370.0,1.11,0.04088,0.1,170.0
1041,13.7,3.48,2.56,15.12,0.15,0.21,52000.0,1.19,0.00036,3.05,187.37
1042,18.3,3.6,3.03,15.08,4.12,5.69,100000.0,1.06,0.04163,0.1,-20.5
1043,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.08527,0.68,13.42
1044,15.6,7.41,4.86,16.05,5.63,3.84,227000.0,1.04,0.1468,0.1,51.33
