,SdssC,IC0,nO,Xc-5d,SRW09,BIC3,SIC3,BIC4,NdO,GGI4,JGI10,nG12FARing,AETA_beta_ns_d,GhoseFilter,Lipinski,RotRatio,SlogP_VSA4,SlogP_VSA8,C3SP2,n6ARing,target
0,3.373806131472077,1.2069084251518167,0,0.8199072360665389,0.0,0.7266904949199204,0.7685783476265621,0.813999852459936,0,1.155555555555556,0.0069699520457096,0,0.0,False,False,0.1071428571428571,0.0,23.278943197061757,5,0,2.2470772
1,3.3839530552553643,1.3318495715684096,0,0.8199072360665389,0.0,0.7266904949199204,0.7685783476265621,0.813999852459936,0,1.155555555555556,0.0069699520457096,0,0.0,False,False,0.1428571428571428,0.0,23.278943197061757,4,0,2.6532125
2,3.373956286218191,1.2326602568158205,0,0.3868945341743197,0.0,0.699335865576738,0.7554779969856077,0.8660025322434045,0,0.8444444444444447,0.0018829247479385,0,0.0,True,False,0.125,0.0,23.278943197061757,4,0,2.230449
3,3.2219052343159484,1.3849586277872934,1,0.7365739027332057,0.0,0.7517299169044169,0.7900156777110281,0.7794270440823695,0,1.2044444444444449,0.009297520661157,0,0.0238095238095238,True,True,0.0909090909090909,0.0,12.152040213667762,3,0,1.6627579
4,3.3480639802217187,1.372905595320056,1,2.5472340745130277,0.0,0.7127633807683987,0.7345523884016688,0.7291905857646037,0,1.884444444444445,0.0097670924117205,0,0.0178571428571428,False,False,0.1379310344827586,0.0,12.152040213667762,3,0,2.7323937
5,3.4081183862433866,1.2448406699719212,0,0.7365739027332057,0.0,0.7212267559548915,0.7591074115787098,0.772466039151441,0,1.0133333333333336,0.00886206946813,0,0.0,True,True,0.0952380952380952,0.0,12.152040213667762,3,0,3.1527016
6,3.4161139455782314,1.2582296369090873,0,0.470227867507653,0.0,0.7753833819320365,0.8202775130286144,0.8320121153154455,0,0.9733333333333336,0.0074482195694316,0,0.0,True,True,0.15,0.0,12.152040213667762,3,0,2.4396122
7,3.435323811623415,1.2448406699719212,0,0.3035612008409863,0.0,0.828562742903617,0.8720809563746397,0.8798020261001667,0,0.9333333333333336,0.002944305974609,0,0.0,True,True,0.238095238095238,0.0,12.152040213667762,3,0,1.214871
8,3.439166627299068,1.3698151284300626,0,0.3035612008409863,0.0,0.7368299102532426,0.7721971055010451,0.7835490349460337,0,1.2533333333333336,0.0096362049224002,0,0.0,True,False,0.1818181818181818,0.0,12.152040213667762,3,0,2.0791812
9,3.0588420414462085,1.5749523572407695,1,2.114221372620808,0.0,0.7436123935981938,0.7732229345332027,0.7651368228224561,0,1.764444444444445,0.01135725946332,0,0.04,False,False,0.1538461538461538,5.817220841045895,12.152040213667762,2,0,2.1359208
10,2.9263529856387,1.657265338157648,3,1.169586604625425,0.0,0.7568051062753326,0.8000496907841063,0.7818658296441835,2,1.3244444444444443,0.0076814319238561,0,0.0,True,True,0.12,0.0,12.152040213667762,3,0,1.2722743
11,2.4379506802721096,1.968873874720721,6,1.169586604625425,0.0,0.7187057579889368,0.7803134698574336,0.7187057579889368,4,1.3244444444444443,0.0076814319238561,0,0.0,True,True,0.16,0.0,12.152040213667762,2,0,-0.47543064
12,3.40721300348014,1.2804125884973652,0,1.2529199379587586,0.0,0.7127180385621782,0.7444554413066278,0.766743546693219,0,1.4666666666666668,0.0071820532953602,0,0.0,False,False,0.125,0.0,23.278943197061757,5,0,2.863323
13,3.3748339474678763,1.439525179119997,1,2.5472340745130277,0.0,0.7127633807683987,0.7345523884016688,0.7291905857646037,0,1.884444444444445,0.0097670924117205,0,0.0178571428571428,False,False,0.1724137931034483,0.0,12.152040213667762,2,0,3.0413928
14,3.434888353489544,1.3914665048326014,0,0.7365739027332057,0.0,0.7212267559548915,0.7591074115787098,0.772466039151441,0,1.0133333333333336,0.00886206946813,0,0.0,True,True,0.1428571428571428,0.0,12.152040213667762,2,0,3.016863
15,3.47430476694324,1.2274504770665493,0,1.0850356152625436,0.0,0.7576118988084423,0.7765879164610618,0.8022978027283287,0,1.484444444444445,0.0062003092306122,0,0.0,False,False,0.3125,0.0,12.152040213667762,3,0,1.0202701
16,3.482300326278085,1.237415663761076,0,0.818689580036991,0.0,0.7818428708123694,0.80245213993536,0.8289173041226109,0,1.4444444444444446,0.0060240451654593,0,0.0,False,False,0.3548387096774194,0.0,12.152040213667762,3,0,1.1309447
17,3.5015101923232685,1.2274504770665493,0,0.6520229133703244,0.0,0.7811375191020081,0.8007027864571227,0.83922919419786,0,1.4044444444444446,0.005242793121581,0,0.0,False,False,0.40625,0.0,12.152040213667762,3,0,1.0780236
18,3.467667862181335,1.2718108456786592,0,0.6520229133703244,0.0,0.7769124422490704,0.8011399176039566,0.8460796356862288,0,1.1733333333333331,0.0060896041757285,0,0.0,False,False,0.3571428571428571,0.0,12.152040213667762,2,0,1.2499636
19,3.4464682539682543,1.1968693094032663,0,2.971332926677937,7.661527081358517,0.6971236174198265,0.7259386755159266,0.7394632933165984,0,1.5022222222222226,0.009931129476584,0,0.0,False,False,0.074074074074074,5.41499046939678,12.152040213667762,4,0,4.392608
20,2.668258692365836,1.4323591457496476,0,0.9142634612365024,7.368339686311381,0.7263925730972647,0.7611834233831933,0.7572841896077427,0,1.6444444444444446,0.0112746148352208,0,0.04,False,False,0.074074074074074,11.63444168209179,12.152040213667762,4,0,4.463893
