,SdssC,BIC4,Xc-5d,SRW09,IC0,nO,n6ARing,BIC3,NdO,SlogP_VSA2,JGI3,GGI4,C3SP2,AETA_beta_ns_d,SIC3,JGI10,RotRatio,SIC2,GhoseFilter,SlogP_VSA8,target
0,3.373806131472077,0.813999852459936,0.8199072360665389,0.0,1.2069084251518167,0,0,0.7266904949199204,0,0.0,0.0472560975609756,1.155555555555556,5,0.0,0.7685783476265621,0.0069699520457096,0.1071428571428571,0.5891317670033612,False,23.278943197061757,2.640971
1,3.3839530552553643,0.813999852459936,0.8199072360665389,0.0,1.3318495715684096,0,0,0.7266904949199204,0,8.073872300533118,0.0472560975609756,1.155555555555556,4,0.0,0.7685783476265621,0.0069699520457096,0.1428571428571428,0.5891317670033612,False,23.278943197061757,2.908485
2,3.373956286218191,0.8660025322434045,0.3868945341743197,0.0,1.2326602568158205,0,0,0.699335865576738,0,0.0,0.0416666666666666,0.8444444444444447,4,0.0,0.7554779969856077,0.0018829247479385,0.125,0.5013212426397741,True,23.278943197061757,2.6434526
3,3.2219052343159484,0.7794270440823695,0.7365739027332057,0.0,1.3849586277872934,1,0,0.7517299169044169,0,5.106527394840706,0.0546875,1.2044444444444449,3,0.0238095238095238,0.7900156777110281,0.009297520661157,0.0909090909090909,0.673584687239108,True,12.152040213667762,2.531479
4,3.3480639802217187,0.7291905857646037,2.5472340745130277,0.0,1.372905595320056,1,0,0.7127633807683987,0,8.317393252699539,0.0516304347826086,1.884444444444445,3,0.0178571428571428,0.7345523884016688,0.0097670924117205,0.1379310344827586,0.6160467230825218,False,12.152040213667762,3.0
5,3.4081183862433866,0.772466039151441,0.7365739027332057,0.0,1.2448406699719212,0,0,0.7212267559548915,0,0.0,0.05625,1.0133333333333336,3,0.0,0.7591074115787098,0.00886206946813,0.0952380952380952,0.6160468016627633,True,12.152040213667762,3.5372663
6,3.4161139455782314,0.8320121153154455,0.470227867507653,0.0,1.2582296369090873,0,0,0.7753833819320365,0,0.0,0.0513392857142857,0.9733333333333336,3,0.0,0.8202775130286144,0.0074482195694316,0.15,0.6613618187480238,True,12.152040213667762,2.9559536
7,3.435323811623415,0.8798020261001667,0.3035612008409863,0.0,1.2448406699719212,0,0,0.828562742903617,0,0.0,0.0424107142857142,0.9333333333333336,3,0.0,0.8720809563746397,0.002944305974609,0.238095238095238,0.7089623030453485,True,12.152040213667762,2.2519474
8,3.439166627299068,0.7835490349460337,0.3035612008409863,0.0,1.3698151284300626,0,0,0.7368299102532426,0,8.073872300533118,0.0581896551724137,1.2533333333333336,3,0.0,0.7721971055010451,0.0096362049224002,0.1818181818181818,0.6423174151426949,True,12.152040213667762,2.6232493
9,3.0588420414462085,0.7651368228224561,2.114221372620808,0.0,1.5749523572407695,1,0,0.7436123935981938,0,8.317393252699539,0.046875,1.764444444444445,2,0.04,0.7732229345332027,0.01135725946332,0.1538461538461538,0.683696818657682,False,12.152040213667762,2.481894
10,2.9263529856387,0.7818658296441835,1.169586604625425,0.0,1.657265338157648,3,0,0.7568051062753326,2,12.9705468580193,0.0592105263157894,1.3244444444444443,3,0.0,0.8000496907841063,0.0076814319238561,0.12,0.6940788202610384,True,12.152040213667762,2.3476162
11,2.4379506802721096,0.7187057579889368,1.169586604625425,0.0,1.968873874720721,6,0,0.7187057579889368,4,25.9410937160386,0.0592105263157894,1.3244444444444443,2,0.0,0.7803134698574336,0.0076814319238561,0.16,0.6878138782184583,True,12.152040213667762,1.3835833
12,3.40721300348014,0.766743546693219,1.2529199379587586,0.0,1.2804125884973652,0,0,0.7127180385621782,0,8.073872300533118,0.0510204081632653,1.4666666666666668,5,0.0,0.7444554413066278,0.0071820532953602,0.125,0.623073050937441,False,23.278943197061757,3.0791812
13,3.3748339474678763,0.7291905857646037,2.5472340745130277,0.0,1.439525179119997,1,0,0.7127633807683987,0,16.391265553232657,0.0516304347826086,1.884444444444445,2,0.0178571428571428,0.7345523884016688,0.0097670924117205,0.1724137931034483,0.6257408845807735,False,12.152040213667762,3.1760912
14,3.434888353489544,0.772466039151441,0.7365739027332057,0.0,1.3914665048326014,0,0,0.7212267559548915,0,8.073872300533118,0.05625,1.0133333333333336,2,0.0,0.7591074115787098,0.00886206946813,0.1428571428571428,0.6160468016627633,True,12.152040213667762,3.476887
