,SdssC,Xc-5d,SRW09,SIC3,IC0,nO,BIC3,BIC4,NdO,n6ARing,GGI4,SlogP_VSA2,C3SP2,JGI3,JGI10,RotRatio,AETA_beta_ns_d,GhoseFilter,SlogP_VSA8,JGI4,target
0,3.373806131472077,0.8199072360665389,0.0,0.7685783476265621,1.2069084251518167,0,0.7266904949199204,0.813999852459936,0,0,1.155555555555556,0.0,5,0.0472560975609756,0.0069699520457096,0.1071428571428571,0.0,False,23.278943197061757,0.033015873015873,2.3227112
1,3.3839530552553643,0.8199072360665389,0.0,0.7685783476265621,1.3318495715684096,0,0.7266904949199204,0.813999852459936,0,0,1.155555555555556,8.073872300533118,4,0.0472560975609756,0.0069699520457096,0.1428571428571428,0.0,False,23.278943197061757,0.033015873015873,2.5682018
2,3.373956286218191,0.3868945341743197,0.0,0.7554779969856077,1.2326602568158205,0,0.699335865576738,0.8660025322434045,0,0,0.8444444444444447,0.0,4,0.0416666666666666,0.0018829247479385,0.125,0.0,True,23.278943197061757,0.0301587301587301,2.30103
3,3.2219052343159484,0.7365739027332057,0.0,0.7900156777110281,1.3849586277872934,1,0.7517299169044169,0.7794270440823695,0,0,1.2044444444444449,5.106527394840706,3,0.0546875,0.009297520661157,0.0909090909090909,0.0238095238095238,True,12.152040213667762,0.0463247863247863,2.2787535
4,3.3480639802217187,2.5472340745130277,0.0,0.7345523884016688,1.372905595320056,1,0.7127633807683987,0.7291905857646037,0,0,1.884444444444445,8.317393252699539,3,0.0516304347826086,0.0097670924117205,0.1379310344827586,0.0178571428571428,False,12.152040213667762,0.0509309309309309,2.7242758
5,3.4081183862433866,0.7365739027332057,0.0,0.7591074115787098,1.2448406699719212,0,0.7212267559548915,0.772466039151441,0,0,1.0133333333333336,0.0,3,0.05625,0.00886206946813,0.0952380952380952,0.0,True,12.152040213667762,0.0405333333333333,3.180978
6,3.4161139455782314,0.470227867507653,0.0,0.8202775130286144,1.2582296369090873,0,0.7753833819320365,0.8320121153154455,0,0,0.9733333333333336,0.0,3,0.0513392857142857,0.0074482195694316,0.15,0.0,True,12.152040213667762,0.0423188405797101,2.6566691
7,3.435323811623415,0.3035612008409863,0.0,0.8720809563746397,1.2448406699719212,0,0.828562742903617,0.8798020261001667,0,0,0.9333333333333336,0.0,3,0.0424107142857142,0.002944305974609,0.238095238095238,0.0,True,12.152040213667762,0.0388888888888888,2.0211434
8,3.439166627299068,0.3035612008409863,0.0,0.7721971055010451,1.3698151284300626,0,0.7368299102532426,0.7835490349460337,0,0,1.2533333333333336,8.073872300533118,3,0.0581896551724137,0.0096362049224002,0.1818181818181818,0.0,True,12.152040213667762,0.0464197530864197,2.3802114
9,3.0588420414462085,2.114221372620808,0.0,0.7732229345332027,1.5749523572407695,1,0.7436123935981938,0.7651368228224561,0,0,1.764444444444445,8.317393252699539,2,0.046875,0.01135725946332,0.1538461538461538,0.04,False,12.152040213667762,0.0569175627240143,2.2442753
10,2.9263529856387,1.169586604625425,0.0,0.8000496907841063,1.657265338157648,3,0.7568051062753326,0.7818658296441835,2,0,1.3244444444444443,12.9705468580193,3,0.0592105263157894,0.0076814319238561,0.12,0.0,True,12.152040213667762,0.0413888888888888,2.0397975
11,2.4379506802721096,1.169586604625425,0.0,0.7803134698574336,1.968873874720721,6,0.7187057579889368,0.7187057579889368,4,0,1.3244444444444443,25.9410937160386,2,0.0592105263157894,0.0076814319238561,0.16,0.0,True,12.152040213667762,0.0413888888888888,1.188451
12,3.40721300348014,1.2529199379587586,0.0,0.7444554413066278,1.2804125884973652,0,0.7127180385621782,0.766743546693219,0,0,1.4666666666666668,8.073872300533118,5,0.0510204081632653,0.0071820532953602,0.125,0.0,False,23.278943197061757,0.0349206349206349,2.748188
13,3.3748339474678763,2.5472340745130277,0.0,0.7345523884016688,1.439525179119997,1,0.7127633807683987,0.7291905857646037,0,0,1.884444444444445,16.391265553232657,2,0.0516304347826086,0.0097670924117205,0.1724137931034483,0.0178571428571428,False,12.152040213667762,0.0509309309309309,2.897627
14,3.434888353489544,0.7365739027332057,0.0,0.7591074115787098,1.3914665048326014,0,0.7212267559548915,0.772466039151441,0,0,1.0133333333333336,8.073872300533118,2,0.05625,0.00886206946813,0.1428571428571428,0.0,True,12.152040213667762,0.0405333333333333,3.1232316
