,temperature_C,NValance_composition_average,HeatFusion_arithmetic_average,valence_composition_average,ThermalConductivity_composition_average,ThirdIonizationEnergy_composition_average,ElectricalConductivity_arithmetic_average,MiracleRadius_composition_average,pH2O,IonicRadii_composition_average,BulkModulus_composition_average,ThermalExpansionCoefficient_composition_average,BCCfermi_composition_average,Density_composition_average,HHIr_composition_average,Polarizability_composition_average,CovalentRadii_composition_average,Column_composition_average,SpaceGroupNumber_composition_average,BCCenergy_pa_composition_average,SpecificHeatCapacity_composition_average,HeatCapacityMass_composition_average,BCCvolume_pa_composition_average,MendeleevNumber_composition_average,GSenergy_pa_composition_average,target
0,415.0,5.535353535353536,6.69,3.1515151515151514,3.862187878787879,44.89375757575758,1.85,104.10101010101008,0.023,1.21010101010101,28.2020202020202,471.3313131313131,4.565152366262626,2538.467787878788,1281.8181818181818,8.323414141414139,0.963939393939394,11.494949494949491,92.06060606060606,-4.037811140707071,0.6903030303030304,0.6899797979797981,14.997070707070709,64.67676767676768,-5.456005612038384,0.142
1,415.0,5.535353535353536,6.69,3.1515151515151514,3.862187878787879,44.89375757575758,1.85,104.10101010101008,0.09,1.21010101010101,28.2020202020202,471.3313131313131,4.565152366262626,2538.467787878788,1281.8181818181818,8.323414141414139,0.963939393939394,11.494949494949491,92.06060606060606,-4.037811140707071,0.6903030303030304,0.6899797979797981,14.997070707070709,64.67676767676768,-5.456005612038384,0.142
2,415.0,5.535353535353536,6.69,3.1515151515151514,3.862187878787879,44.89375757575758,1.85,104.10101010101008,0.03,1.21010101010101,28.2020202020202,471.3313131313131,4.565152366262626,2538.467787878788,1281.8181818181818,8.323414141414139,0.963939393939394,11.494949494949491,92.06060606060606,-4.037811140707071,0.6903030303030304,0.6899797979797981,14.997070707070709,64.67676767676768,-5.456005612038384,0.0819999999999999
3,415.0,5.538152610441767,6.69,3.144578313253012,3.840532530120482,44.95424096385541,1.85,103.859437751004,0.023,1.2112449799196785,28.03212851405622,473.1907630522088,4.556166710441766,2523.184421686746,1277.1084337349398,8.278104417670681,0.9625301204819277,11.522088353413654,91.57831325301204,-4.028304757991968,0.6916867469879517,0.6913534136546184,14.950883534136546,64.81124497991965,-5.451793481273092,0.0819999999999999
4,415.0,5.594320486815415,8.847999999999999,3.0750507099391484,5.557907099391482,44.88351318458418,4.4,104.1419878296146,0.023,1.20973630831643,29.533468559837733,469.9107505070994,4.5209165367139965,2577.92839148073,1278.9046653144017,8.301188640973631,0.9644827586206896,11.537525354969576,92.5476673427992,-3.974613172880325,0.6886409736308317,0.6883448275862071,15.02452332657201,64.76876267748479,-5.388370765406897,0.046
5,415.0,5.716024340770793,8.847999999999999,2.9127789046653145,8.920178904665313,44.94448681541582,4.4,103.89858012170386,0.023,1.2105476673427993,31.96754563894524,469.5740365111562,4.420342493306288,2636.265105476673,1266.734279918864,8.19571196754564,0.9636713995943204,11.659229208924954,92.87221095334684,-3.835413508782962,0.6871805273833672,0.6869249492900609,15.017221095334689,65.13387423935092,-5.247427938618256,0.046
6,415.0,5.716024340770793,8.847999999999999,2.9127789046653145,8.920178904665313,44.94448681541582,4.4,103.89858012170386,0.09,1.2105476673427993,31.96754563894524,469.5740365111562,4.420342493306288,2636.265105476673,1266.734279918864,8.19571196754564,0.9636713995943204,11.659229208924954,92.87221095334684,-3.835413508782962,0.6871805273833672,0.6869249492900609,15.017221095334689,65.13387423935092,-5.247427938618256,0.0139999999999999
7,415.0,5.716024340770793,8.847999999999999,2.9127789046653145,8.920178904665313,44.94448681541582,4.4,103.89858012170386,0.03,1.2105476673427993,31.96754563894524,469.5740365111562,4.420342493306288,2636.265105476673,1266.734279918864,8.19571196754564,0.9636713995943204,11.659229208924954,92.87221095334684,-3.835413508782962,0.6871805273833672,0.6869249492900609,15.017221095334689,65.13387423935092,-5.247427938618256,0.0139999999999999
8,405.0,5.960000000000001,7.512499999999998,2.3600000000000003,22.461640000000006,44.47224,6.199999999999998,101.8,0.023,1.206,40.48,472.332,4.3846182524,2869.4174,1456.0,7.979200000000001,0.9464,11.96,86.04,-3.7063241996,0.6786000000000001,0.6784399999999999,14.5976,66.2,-5.1258729056,0.11
9,405.0,5.98,9.506,2.3600000000000003,22.275640000000006,44.50564,7.879999999999999,101.82,0.023,1.2068,40.48,472.34,4.3637258078,2869.5774,1432.0,7.965200000000001,0.9462,11.98,86.66000000000003,-3.675505249,0.67906,0.6789,14.595399999999998,66.26,-5.0951916141,0.11
10,405.0,6.0,9.506,2.3600000000000003,22.089640000000006,44.53904,7.879999999999999,101.84,0.023,1.2075999999999998,40.48,472.348,4.3428333632000005,2869.7374,1408.0,7.951200000000003,0.946,12.0,87.28000000000002,-3.6446862984,0.6795200000000001,0.6793600000000001,14.5932,66.32000000000001,-5.0645103226,0.196
11,405.0,6.02,9.506,2.36,21.903640000000006,44.57244,7.879999999999999,101.86,0.023,1.2083999999999997,40.48,472.356,4.3219409186,2869.8974,1384.0,7.937200000000002,0.9458,12.02,87.9,-3.6138673478,0.67998,0.67982,14.591,66.38,-5.0338290311,0.196
12,250.0,6.02,9.506,2.36,21.903640000000006,44.57244,7.879999999999999,101.86,0.023,1.2083999999999997,40.48,472.356,4.3219409186,2869.8974,1384.0,7.937200000000002,0.9458,12.02,87.9,-3.6138673478,0.67998,0.67982,14.591,66.38,-5.0338290311,0.084
13,280.0,6.02,9.506,2.36,21.903640000000006,44.57244,7.879999999999999,101.86,0.023,1.2083999999999997,40.48,472.356,4.3219409186,2869.8974,1384.0,7.937200000000002,0.9458,12.02,87.9,-3.6138673478,0.67998,0.67982,14.591,66.38,-5.0338290311,0.084
14,300.0,6.02,9.506,2.36,21.903640000000006,44.57244,7.879999999999999,101.86,0.023,1.2083999999999997,40.48,472.356,4.3219409186,2869.8974,1384.0,7.937200000000002,0.9458,12.02,87.9,-3.6138673478,0.67998,0.67982,14.591,66.38,-5.0338290311,0.016
