,SdssC,BIC3,Xc-5d,IC0,nO,SRW09,BIC4,NdO,GGI4,n6ARing,SIC3,AETA_beta_ns_d,JGI10,C3SP2,SlogP_VSA2,GhoseFilter,nG12FAHRing,RotRatio,JGI3,SlogP_VSA8,target
0,3.373806131472077,0.7266904949199204,0.8199072360665389,1.2069084251518167,0,0.0,0.813999852459936,0,1.155555555555556,0,0.7685783476265621,0.0,0.0069699520457096,5,0.0,False,0,0.1071428571428571,0.0472560975609756,23.278943197061757,2.2644584
1,3.3839530552553643,0.7266904949199204,0.8199072360665389,1.3318495715684096,0,0.0,0.813999852459936,0,1.155555555555556,0,0.7685783476265621,0.0,0.0069699520457096,4,8.073872300533118,False,0,0.1428571428571428,0.0472560975609756,23.278943197061757,2.5910647
2,3.373956286218191,0.699335865576738,0.3868945341743197,1.2326602568158205,0,0.0,0.8660025322434045,0,0.8444444444444447,0,0.7554779969856077,0.0,0.0018829247479385,4,0.0,True,0,0.125,0.0416666666666666,23.278943197061757,2.2552724
3,3.2219052343159484,0.7517299169044169,0.7365739027332057,1.3849586277872934,1,0.0,0.7794270440823695,0,1.2044444444444449,0,0.7900156777110281,0.0238095238095238,0.009297520661157,3,5.106527394840706,True,0,0.0909090909090909,0.0546875,12.152040213667762,1.9138138
4,3.3480639802217187,0.7127633807683987,2.5472340745130277,1.372905595320056,1,0.0,0.7291905857646037,0,1.884444444444445,0,0.7345523884016688,0.0178571428571428,0.0097670924117205,3,8.317393252699539,False,0,0.1379310344827586,0.0516304347826086,12.152040213667762,2.672098
5,3.4081183862433866,0.7212267559548915,0.7365739027332057,1.2448406699719212,0,0.0,0.772466039151441,0,1.0133333333333336,0,0.7591074115787098,0.0,0.00886206946813,3,0.0,True,0,0.0952380952380952,0.05625,12.152040213667762,3.1643937
6,3.4161139455782314,0.7753833819320365,0.470227867507653,1.2582296369090873,0,0.0,0.8320121153154455,0,0.9733333333333336,0,0.8202775130286144,0.0,0.0074482195694316,3,0.0,True,0,0.15,0.0513392857142857,12.152040213667762,2.4771214
7,3.435323811623415,0.828562742903617,0.3035612008409863,1.2448406699719212,0,0.0,0.8798020261001667,0,0.9333333333333336,0,0.8720809563746397,0.0,0.002944305974609,3,0.0,True,0,0.238095238095238,0.0424107142857142,12.152040213667762,1.5682018
8,3.439166627299068,0.7368299102532426,0.3035612008409863,1.3698151284300626,0,0.0,0.7835490349460337,0,1.2533333333333336,0,0.7721971055010451,0.0,0.0096362049224002,3,8.073872300533118,True,0,0.1818181818181818,0.0581896551724137,12.152040213667762,2.146128
9,3.0588420414462085,0.7436123935981938,2.114221372620808,1.5749523572407695,1,0.0,0.7651368228224561,0,1.764444444444445,0,0.7732229345332027,0.04,0.01135725946332,2,8.317393252699539,False,0,0.1538461538461538,0.046875,12.152040213667762,2.1276362
