,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
65,50.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.6509511470794678
66,50.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,2.156001091003418
67,50.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3.605905055999756
68,50.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,20.862276077270508
69,50.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,68.97705841064453
70,50.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,91.42959594726562
71,50.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,46.02247619628906
72,50.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,12.826448440551758
73,50.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4.283804416656494
74,50.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,-0.921056032180786
75,50.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2953007221221924
76,50.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.5481307506561279
77,50.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2.0765528678894043
78,50.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.2920238971710205
79,50.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.45508861541748
80,50.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,8.529783248901367
81,50.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.293830394744873
82,50.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8473092317581177
83,50.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,-9.955333709716797
84,50.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,-8.485868453979492
85,50.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,-6.783974170684815
86,50.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-5.1412787437438965
87,50.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-2.568331718444824
88,50.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,6.861954212188721
89,50.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,22.4600772857666
90,50.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5453358888626099
91,50.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.5424516201019287
92,50.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,6.990841865539551
93,50.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,59.12733840942383
94,50.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,92.60726928710938
95,50.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,55.56773376464844
96,50.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,33.03155517578125
97,50.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,19.51358795166016
98,50.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,46.44353103637695
99,50.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,23.438793182373047
100,50.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,5.518089294433594
101,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,30.200454711914062
102,50.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,8.86311149597168
103,50.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,13.184167861938477
104,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,19.1007080078125
105,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,21.168745040893555
