,nX,SsCH3,nHBAcc,NssssN,SlogP_VSA2,CIC0,SMR_VSA1,SdssS,SlogP_VSA10,NdssS,ATS1Z,NssCH2,SsNH2,ATSC1p,MIC2,PEOE_VSA6,n5aHRing,SaasN,SlogP_VSA5,AATSC0p,target
0,0,0.0,7,0,38.9116405740579,2.96977557740621,38.9116405740579,0.0,5.687386274683562,0,1940.0,0,5.425547800138574,-2.5276832300070646,44.54196126326885,0.0,0,0.0,0.0,0.4630951411833427,-11.96
1,0,0.0,17,0,124.51285793594464,3.934275412324325,93.03817281375755,0.0,0.0,0,3032.0,2,0.0,-9.450185243026311,45.560829218687175,0.0,0,0.0,0.0,0.4042775764467318,-8.0
2,0,1.446419910365583,19,0,202.61092709504,4.8791314853163215,90.1268451322012,0.0,0.0,0,2217.0,3,0.0,1.9815094760837129,38.53773183207449,6.076020106833881,0,0.0,6.923737199690624,0.191952313032938,-6.8
3,0,2.733727746976859,15,0,158.84783961852497,4.570131479456187,59.48768076315695,0.0,0.0,0,2021.0,1,10.766209349869715,1.0555958428438876,39.15462194714758,0.0,0,0.0,6.923737199690624,0.1809218229592116,-6.4
4,0,4.004158197522148,16,0,95.40065898458784,4.270242571549609,43.70513222892233,0.0,21.43134471642974,0,2424.0,4,17.12336997521539,0.8399778553035173,54.45508436804177,5.15571272675054,2,3.036179201271522,19.671878897381177,0.2702613767939822,-6.17
5,0,0.0,14,0,74.2245175390821,3.440202665134215,61.36371891024433,0.0,5.817862777835028,0,2426.0,1,5.666940136923747,-10.941988739502625,53.83449172813347,0.0,1,1.2143760310768186,6.22790117073487,0.5633508532318259,-5.5
6,0,3.888888888888889,4,0,39.73509793381252,3.1808478638715973,24.25293606934881,0.0,0.0,0,891.0,2,5.111111111111111,-0.9959454968165612,33.89533651229895,13.847474399381248,0,0.0,13.847474399381248,0.3778240229282641,-5.4
7,0,0.0,4,0,42.02154578246868,3.522904652412256,19.49013894705617,0.0,0.0,0,906.0,3,5.7197861289577565,0.5810633800000038,35.46059502216177,30.33183534230805,0,0.0,5.563451491696996,0.209020270221081,-5.1
8,0,0.0,6,0,45.741054237374605,2.712666346653108,19.802129157825057,0.0,0.0,0,948.0,2,10.42376637692114,4.394649050375361,33.89130257336974,21.587795952773444,0,0.0,0.0,0.4238997584595147,-5.08
9,0,0.0,8,0,25.9410937160386,3.100849840047033,85.05566578125448,0.0,11.374772549367124,0,1660.0,0,10.934685700369322,25.610687221411155,42.842689989490665,24.284774350590983,0,0.0,11.126902983393991,26.455782865047706,-4.95
10,0,7.7420346901642,4,0,41.51863020570406,4.050829561862158,19.49013894705617,0.0,0.0,0,966.0,3,5.781724904467961,-0.1765015421193217,29.61615389158592,27.694948798762496,0,0.0,40.53659204461451,0.1972686827749058,-4.91
11,0,1.4626199924414212,4,0,41.51863020570406,3.669211979159952,19.49013894705617,0.0,0.0,0,954.0,2,5.134274781835416,0.5592532183999983,35.43363791469368,30.33183534230805,0,0.0,12.48718869138762,0.2104365600267193,-4.8
12,0,0.0,5,0,47.128073177309375,3.52518717404448,24.59666634189688,0.0,0.0,0,956.0,3,5.184998196031295,0.8939608918947413,39.30254618637693,12.13273413692322,0,0.0,5.563451491696996,0.2053465718774881,-4.75
13,0,0.0,4,0,36.3081578318307,2.6858383233990404,33.810270375713266,0.0,0.0,0,1140.0,2,4.861319444444445,-1.4380102844977931,35.072189586750895,0.0,0,0.0,6.4208216229260096,0.6859251710579981,-4.7
14,0,3.890648317331218,4,0,41.51863020570406,4.047717562199741,19.49013894705617,0.0,0.0,0,1098.0,3,5.718163670724305,0.5098465257959188,35.31903706050077,44.179309741689295,0,0.0,25.831747514004253,0.2134535265345273,-4.65
15,0,0.0,3,0,23.662429917853093,2.512182274937423,9.901064578912528,0.0,0.0,0,354.0,2,10.071342592592591,0.3863636927750019,26.69568110946605,0.0,0,0.0,6.4208216229260096,0.1646844572466666,-4.64
16,4,0.0,6,0,61.21085503599306,4.626607436143521,37.87723081916639,0.0,22.3561973747711,0,2318.0,5,5.799337781936051,2.5412698463106045,45.75233783245768,53.68664927444342,0,0.0,39.80153057310798,0.2318709456255528,-4.6051702
17,0,3.820494719492736,4,0,41.51863020570406,4.047717562199741,19.49013894705617,0.0,0.0,0,1098.0,3,5.265085439431787,0.5098465257959189,34.74732277478649,44.179309741689295,0,0.0,25.831747514004253,0.2134535265345273,-4.6
18,2,4.045185185185185,0,0,0.0,3.3440839639153443,33.94826561794266,0.0,0.0,0,660.0,0,0.0,-1.781076930389335,33.036458664156925,0.0,0,4.068333333333333,0.0,0.2857265158735289,-4.5
19,0,0.0,6,0,87.18000433736385,3.943656585270364,57.40748596174511,0.0,0.0,0,2416.0,10,0.0,-5.652104533548981,32.53567728561176,12.84164324585202,0,0.0,25.68328649170404,0.6280844220183724,-4.43
20,0,0.0,3,0,18.555902523012385,2.791866213480509,15.63473205607471,0.0,0.0,0,401.0,3,5.1358380574452,0.3306281577409207,26.838710521168025,0.0,0,0.0,12.84164324585202,0.1733938657498684,-4.41
21,0,1.432895474535085,5,0,46.62515760054476,3.667759015630119,24.59666634189688,0.0,0.0,0,1004.0,2,5.757561072268413,0.8710263718048807,38.444774989519374,12.13273413692322,0,0.0,12.48718869138762,0.206936455542464,-4.4
22,0,4.045185185185185,0,0,0.0,3.51151853276644,9.13419929558271,0.0,0.0,0,660.0,0,0.0,-0.9423759707265232,24.840444995294416,0.0,0,4.068333333333333,0.0,0.2323107045795969,-4.36
23,0,0.0,11,0,115.47776764840832,3.981795409415216,55.062808020125786,0.0,0.0,0,1180.0,3,0.0,0.7512101711658874,33.60179654739657,0.0,0,0.0,0.0,0.1825046740491822,-4.3
24,0,0.0,3,0,29.62198448659692,3.031259381274361,9.901064578912528,0.0,0.0,0,542.0,3,10.214849458301838,0.4446037740615344,30.950900025348098,0.0,0,0.0,12.84164324585202,0.1673225608263787,-4.2
25,0,0.0,3,0,29.62198448659693,3.031259381274361,9.901064578912528,0.0,0.0,0,542.0,3,15.321431720836484,0.4446037740615344,29.640823102271185,0.0,0,0.0,12.84164324585202,0.1673225608263786,-4.2
26,0,1.3259839351947722,7,0,101.26085530825782,4.243203227135707,33.87375049927164,0.0,0.0,0,1537.0,9,5.347179222253401,-0.7844925283901842,35.99802717691048,0.0,0,0.0,32.60702369139466,0.1956958618977732,-4.125
27,0,0.0,6,0,87.18000433736385,3.521997429789274,57.40748596174511,0.0,0.0,0,2224.0,6,0.0,-6.014801477877894,32.1967535283312,0.0,0,0.0,0.0,0.7348548472352895,-4.1
28,0,6.542942176870749,1,1,30.6100253266734,3.428180151811868,4.483030857694624,0.0,0.0,0,522.0,1,0.0,-1.419572284615384,23.883118711233134,0.0,0,0.0,5.563451491696996,0.2179667568048594,-3.95
29,2,3.870246491923981,5,0,21.68136640124804,3.370478948279355,22.08066020381204,0.0,5.817862777835028,0,987.0,3,5.883737166162762,-0.5258750706281639,45.95531965315361,11.336785877934735,1,2.1111574074074078,21.95893117824668,0.3354206195634625,-3.93
30,0,0.0,4,0,59.519836648128106,4.805304119479381,9.901064578912528,0.0,4.794537184071822,0,2082.0,5,0.0,0.8751885507344738,37.72878403685698,72.79640482153933,2,0.0,28.67462758971399,0.2292472026637272,-3.912023
31,0,0.0,7,0,43.50324749040026,3.0489884817280277,24.195261839077038,0.0,5.817862777835028,0,1130.0,3,5.298507257433124,-1.6103105206249977,42.30834374999999,0.0,0,1.121946963970773,0.0,0.379440385951121,-3.9
32,0,0.0,3,0,28.193506194733068,2.228217778400202,19.802129157825057,0.0,0.0,0,390.0,1,4.837037037037037,0.4181775630249956,28.898000000000003,0.0,0,0.0,6.4208216229260096,0.1707618133964336,-3.89
33,0,0.0,3,0,28.193506194733068,2.228217778400202,19.802129157825057,0.0,0.0,0,390.0,1,4.837037037037037,0.4181775630249956,28.898000000000003,0.0,0,0.0,6.4208216229260096,0.1707618133964336,-3.89
34,0,0.0,3,0,23.02485324129202,2.279699264833145,14.69560176298435,0.0,0.0,0,390.0,1,9.565925925925926,0.4993077022479728,31.410794301361975,0.0,0,0.0,6.4208216229260096,0.1654675584122076,-3.82
35,2,6.382083333333333,0,1,38.05080665660911,2.9388265147748105,16.8900640188746,0.0,0.0,0,384.0,2,0.0,-2.0501723331042188,28.7810422024721,0.0,0,0.0,0.0,0.3037420578782223,-3.8
36,0,2.481724174594846,9,0,101.08729853579956,3.829034018997306,49.33230020374731,0.0,0.0,0,1133.0,1,0.0,-0.6443771106363624,40.08695432050537,0.0,0,0.0,0.0,0.1841924948771007,-3.74
37,0,0.0,2,0,5.20725302477729,0.5,5.20725302477729,0.0,0.0,0,120.0,0,0.0,-0.0137844260530624,23.506500000000003,0.0,0,0.0,0.0,0.0251148856591875,-3.7
38,0,0.0,11,0,115.47776764840836,3.981795409415216,55.062808020125786,0.0,0.0,0,1180.0,3,0.0,0.7512101711658895,32.294205619863234,0.0,0,0.0,0.0,0.1825046740491822,-3.7
39,0,0.0,11,0,81.99461034550484,3.8542587006219886,29.3912035259687,0.0,0.0,0,1906.0,5,5.719537565013659,2.417637328217867,51.91100642997963,36.027353223237554,1,1.0931918974127115,11.126902983393991,0.3062416139005149,-3.7
40,0,0.0,3,0,28.193506194733068,2.5336297624956643,19.802129157825057,0.0,0.0,0,438.0,2,5.001898148148149,0.4334457770505037,29.10197763436604,0.0,0,0.0,12.84164324585202,0.1791812109263435,-3.69
41,1,6.130196995464853,2,1,44.74699046410353,3.214285714285714,30.99588184769278,0.0,0.0,0,516.0,2,0.0,-3.1351426920646506,37.60124562190703,6.578935683598497,0,0.0,0.0,0.3408942613099592,-3.63
42,1,7.603321995464853,2,1,44.74699046410353,3.172277202014934,30.99588184769278,0.0,0.0,0,480.0,2,0.0,-3.279500232760887,36.31308120964591,0.0,0,0.0,6.923737199690624,0.3393994023448888,-3.61
43,0,0.0,2,0,8.761648365854832,1.9412943652509167,38.31893439846277,-2.078950617283951,0.0,1,598.0,0,0.0,19.127371425594536,38.16970637859815,18.19910120538483,0,0.0,0.0,32.83495334054423,-3.54
44,0,0.0,4,0,53.11791377872878,2.894951786641486,43.05561447130884,0.0,0.0,0,1560.0,3,0.0,-4.492524073808995,31.34870717699445,0.0,0,0.0,0.0,0.8270246591262855,-3.53
45,0,0.0,5,0,47.128073177309375,3.52518717404448,24.59666634189688,0.0,0.0,0,956.0,3,5.695338850046191,0.8939608918947409,38.565335660061145,12.13273413692322,0,0.0,5.563451491696996,0.2053465718774881,-3.51
46,0,5.281684498940258,8,0,64.92771635607285,5.103069947001853,33.758402038728086,0.0,15.276460642827209,0,2436.0,5,0.0,-0.2601521122395308,41.32640452959543,92.7102462893822,0,0.0,54.370852876009145,0.2266341183616933,-3.506558
47,0,0.0,6,0,59.519836648128106,4.835088958580211,9.901064578912528,0.0,16.430262739741877,0,2182.0,5,12.290790360601347,1.96368526232126,38.31033537167779,72.79640482153933,2,0.0,28.67462758971399,0.2238365861715257,-3.506558
48,0,3.3231240439941576,9,0,59.87430797188374,3.9053897408574607,47.46981906576371,0.0,0.0,0,1476.0,6,5.135997969775443,-4.629265260956691,40.56988244164936,13.847474399381248,0,0.0,33.10993926815928,0.3219510776632236,-3.5
